qseqid	sseqid	qlen	slen	pident	mismatch	score	bitscore	evalue
CPAR2_806390	ref|XP_002421505.1|	1640	2113	36.620	39	84	37.0	0.001
CPAR2_806410	ref|XP_002547764.1|	1671	1405	49.729	457	2292	887	0.0
CPAR2_806410	ref|XP_002547764.1|	1671	1405	42.699	373	1073	417	8.80e-124
CPAR2_806420	ref|XP_002546360.1|	1714	1952	50.470	149	879	343	2.02e-97
CR_00610W_A	ref|XP_718630.1|	1526	1526	100.000	0	7660	2955	0.0
CR_00760C_A	ref|XP_717969.1|	1225	1225	100.000	0	6386	2464	0.0
CR_03630W_A	ref|XP_715137.2|	941	941	100.000	0	4798	1852	0.0
CR_03880W_A	ref|XP_717330.2|	941	941	100.000	0	4793	1850	0.0
CTRG_00233	ref|XP_002545452.1|	1383	1383	100.000	0	7214	2783	0.0
CTRG_00291	ref|XP_002547620.1|	656	1689	70.028	146	1836	711	0.0
CTRG_00291	ref|XP_002547620.1|	656	1689	56.131	90	326	130	5.01e-33
CTRG_00291	ref|XP_002547620.1|	656	1689	54.366	73	304	121	2.39e-30
CTRG_00291	ref|XP_002547620.1|	656	1689	53.311	77	262	105	2.66e-25
CTRG_00291	ref|XP_002547620.1|	656	1689	48.341	116	191	78.2	9.62e-17
CTRG_00291	ref|XP_002547620.1|	656	1689	59.574	37	129	54.3	2.00e-09
CTRG_00291	ref|XP_002547620.1|	656	1689	56.338	42	128	53.9	2.81e-09
CTRG_00291	ref|XP_002547620.1|	656	1689	50.296	43	105	45.1	1.44e-06
CTRG_00291	ref|XP_002547620.1|	656	1689	54.610	29	88	38.5	1.50e-04
CTRG_00291	ref|XP_002547620.1|	656	1689	54.321	25	87	38.1	1.94e-04
CTRG_00291	ref|XP_002547620.1|	656	1689	49.091	31	76	33.9	0.004
CTRG_01922	ref|XP_002547615.1|	749	749	100.000	0	3704	1431	0.0
CTRG_01923	ref|XP_002421505.1|	1626	2113	51.731	292	1811	702	0.0
CTRG_01923	ref|XP_002421505.1|	1626	2113	60.156	100	872	340	9.57e-97
CTRG_01923	ref|XP_002421505.1|	1626	2113	32.258	21	53	25.0	5.0
CTRG_01924	ref|XP_002547617.1|	827	827	100.000	0	4111	1588	0.0
CTRG_01926	ref|XP_002547620.1|	1689	1689	100.000	0	7911	3051	0.0
CTRG_02071	ref|XP_002547764.1|	1405	1405	100.000	0	7148	2758	0.0
CTRG_02188	ref|XP_002547891.1|	669	669	100.000	0	3443	1330	0.0
CTRG_02201	ref|XP_002547904.1|	1038	1038	100.000	0	5148	1987	0.0
CTRG_04224	ref|XP_002549927.1|	925	925	100.000	0	4569	1764	0.0
CTRG_04426	ref|XP_002550128.1|	1230	1230	100.000	0	6466	2495	0.0
CTRG_04685	ref|XP_002550387.1|	588	588	100.000	0	2964	1146	0.0
CTRG_05198	ref|XP_002550900.1|	665	665	100.000	0	3207	1239	0.0
CTRG_05200	ref|XP_002546360.1|	878	1952	50.769	86	574	225	7.15e-63
CTRG_05200	ref|XP_002546360.1|	878	1952	27.586	87	58	26.9	0.73
CTRG_05838	ref|XP_002546360.1|	1952	1952	100.000	0	9342	3603	0.0
CXQ85_000013	ref|XP_025341988.1|	962	962	100.000	0	4923	1900	0.0
CXQ85_002807	ref|XP_025344020.1|	745	745	100.000	0	3623	1400	0.0
CXQ85_003757	ref|XP_025344407.1|	4416	4416	100.000	0	21488	8281	0.0
CXQ85_003762	ref|XP_025344412.1|	2109	2109	100.000	0	9750	3760	0.0
CXQ85_003765	ref|XP_025344415.1|	1650	1650	100.000	0	7300	2816	0.0
CXQ85_003766	ref|XP_025344416.1|	2672	2672	100.000	0	12782	4928	0.0
CXQ85_003952	ref|XP_025344601.1|	1320	1320	100.000	0	6460	2492	0.0
CXQ85_004198	ref|XP_025341634.1|	817	817	100.000	0	4208	1625	0.0
CXQ85_004549	ref|XP_025341971.1|	729	729	100.000	0	3691	1426	0.0
CXQ85_004563	ref|XP_025342839.1|	1221	1221	100.000	0	6073	2343	0.0
CXQ85_004928	ref|XP_025343300.1|	2259	2259	100.000	0	10874	4193	0.0
CXQ85_005377	ref|XP_025343289.1|	1165	1165	100.000	0	5680	2192	0.0
CXQ87_001485	ref|XP_025339494.1|	884	884	100.000	0	4445	1716	0.0
CXQ87_001664	ref|XP_025334498.1|	3113	3113	100.000	0	14616	5634	0.0
CXQ87_001666	ref|XP_025334500.1|	973	973	100.000	0	4871	1880	0.0
CXQ87_003243	ref|XP_025336343.1|	694	694	100.000	0	3569	1379	0.0
CXQ87_003607	ref|XP_025336698.1|	932	932	100.000	0	4648	1795	0.0
CXQ87_004674	ref|XP_025338053.1|	1785	1785	100.000	0	8453	3260	0.0
CXQ87_005004	ref|XP_025337648.1|	1427	1427	100.000	0	7185	2772	0.0
CXQ87_005009	ref|XP_025337653.1|	637	637	100.000	0	3242	1253	0.0
CXQ87_005017	ref|XP_025335681.1|	1353	1353	100.000	0	6576	2537	0.0
CXQ87_005018	ref|XP_025335682.1|	1873	1873	100.000	0	9047	3489	0.0
CXQ87_005334	ref|XP_025335995.1|	727	727	100.000	0	3684	1423	0.0
