No,Chain,Z,rmsd,lali,nres,%id PDB,Description
62,1hg8-A,10.2,4.3,219,349,9,MOLECULE: ENDOPOLYGALACTURONASE;
63,6n2b-B,10.1,3.2,171,355,10,MOLECULE: TAPIRIN;
64,3d8v-A,10.1,12.4,176,477,9,MOLECULE: BIFUNCTIONAL PROTEIN GLMU;
65,5olq-C,10.0,3.9,221,427,6,MOLECULE: RHAMNOGALACTURONAN LYASE;
66,6xja-P,10.0,3.7,212,1286,5,MOLECULE: IMMUNOGLOBULIN A1 PROTEASE;
67,1bhe-A,10.0,3.7,212,376,10,MOLECULE: POLYGALACTURONASE;
68,4wa0-A,10.0,3.2,171,358,12,MOLECULE: POSSIBLE ADHESIN;
69,4u4b-A,10.0,3.3,162,326,7,MOLECULE: PECTATE LYASE;
70,3sze-A,10.0,4.0,218,943,13,MOLECULE: SERINE PROTEASE ESPP;
71,6fi2-A,10.0,4.7,205,375,6,MOLECULE: VEXL;
72,2xc1-B,9.9,3.9,212,661,9,MOLECULE: BIFUNCTIONAL TAIL PROTEIN;
73,4e6t-B,9.9,11.8,163,269,5,MOLECULE: ACYL-[ACYL-CARRIER-PROTEIN]--UDP-N-ACETYLGLUCOSAM
74,4c2l-A,9.8,3.6,207,372,12,MOLECULE: ENDO-XYLOGALACTURONAN HYDROLASE A;
75,6kfn-A,9.8,3.9,199,298,11,MOLECULE: ALGINATE LYASE;
76,4pex-B,9.8,3.7,212,551,7,MOLECULE: PUTATIVE SECRETED PROTEIN;
77,7chu-A,9.7,4.5,208,517,11,MOLECULE: PUTATIVE PECTIN LYASE;
78,5mqp-E,9.7,3.7,211,602,10,MOLECULE: GLYCOSIDE HYDROLASE BT_1002;
79,3jur-D,9.7,3.8,211,446,6,MOLECULE: EXO-POLY-ALPHA-D-GALACTURONOSIDASE;
80,6kqs-A,9.6,4.2,216,620,8,MOLECULE: LACTO-N-BIOSIDASE;
81,1pxz-A,9.6,3.3,176,346,9,MOLECULE: MAJOR POLLEN ALLERGEN JUN A 1;
82,3vst-A,9.6,3.6,214,638,8,MOLECULE: XYLOSIDASE;
83,4kh3-A,9.6,3.2,175,492,10,MOLECULE: ANTIGEN 43;
84,3r0s-A,9.6,11.7,175,252,6,MOLECULE: ACYL-[ACYL-CARRIER-PROTEIN]--UDP-N-ACETYLGLUCOSAM
85,5w5p-A,9.5,5.4,208,610,8,MOLECULE: TAIL FIBER PROTEIN;
86,1v3w-A,9.5,11.9,131,173,10,MOLECULE: FERRIPYOCHELIN BINDING PROTEIN;
87,2f9c-A,9.4,12.6,191,320,7,MOLECULE: HYPOTHETICAL PROTEIN YDCK;
88,5olp-A,9.4,4.1,216,432,8,MOLECULE: PECTATE LYASE;
89,1air-A,9.4,4.1,206,352,11,MOLECULE: PECTATE LYASE C;
90,2iu8-A,9.4,12.7,191,346,7,MOLECULE: UDP-3-O-[3-HYDROXYMYRISTOYL] GLUCOSAMINE
91,3fsb-A,9.4,12.7,177,260,8,MOLECULE: QDTC;
92,6ive-A,9.4,12.2,141,168,3,MOLECULE: FERRIPYOCHELIN-BINDING PROTEIN;
93,3lyc-A,9.4,4.1,167,241,8,MOLECULE: PUTATIVE PECTINASE;
94,5t5i-C,9.3,2.8,171,269,11,MOLECULE: TUNGSTEN FORMYLMETHANOFURAN DEHYDROGENASE SUBUNIT
95,2uve-A,9.3,4.6,221,571,10,MOLECULE: EXOPOLYGALACTURONASE;
96,6k0v-A,9.3,3.7,211,562,8,MOLECULE: ALPHA-1_3-GLUCANASE;
97,4xla-A,9.3,4.3,224,600,6,MOLECULE: TAIL SPIKE PROTEIN;
98,3zsc-A,9.3,3.7,188,329,7,MOLECULE: PECTATE TRISACCHARIDE-LYASE;
99,4y9v-A,9.3,4.2,221,603,8,MOLECULE: PARTICLE-ASSOCIATED LYASE;
100,2bm5-A,9.2,3.9,166,183,9,MOLECULE: PENTAPEPTIDE REPEAT FAMILY PROTEIN;
101,4ru4-B,9.2,3.9,208,590,8,MOLECULE: TAIL SPIKE PROTEIN GP49;
102,3kwc-A,9.2,12.1,150,205,7,MOLECULE: CARBON DIOXIDE CONCENTRATING MECHANISM PROTEIN;
103,4rmx-A,9.1,4.6,208,602,5,MOLECULE: PHI92_GP150;
104,2qx3-A,9.1,3.9,188,330,10,MOLECULE: PECTATE LYASE II;
105,3riq-A,9.1,3.8,208,541,10,MOLECULE: TAILSPIKE PROTEIN;
106,4m9c-A,9.1,12.9,128,216,9,MOLECULE: BACTERIAL TRANSFERASE HEXAPEPTIDE (THREE REPEATS)
107,5jsd-A,9.0,4.2,201,548,8,MOLECULE: PHIAB6 TAILSPIKE;
108,3vmv-A,9.0,4.0,171,324,9,MOLECULE: PECTATE LYASE;
109,6nzs-A,9.0,3.6,219,587,5,MOLECULE: DEXTRANASE;
110,1vbl-A,9.0,3.7,198,416,9,MOLECULE: PECTATE LYASE 47;
111,2ggo-A,9.0,12.7,152,401,8,MOLECULE: 401AA LONG HYPOTHETICAL GLUCOSE-1-PHOSPHATE
112,3jx8-A,9.0,4.0,163,247,5,MOLECULE: PUTATIVE LIPOPROTEIN;
113,1idj-A,8.9,4.0,192,359,7,MOLECULE: PECTIN LYASE A;
114,7a23-q,8.9,12.2,142,228,11,MOLECULE: 51KDA;
115,5gt5-A,8.8,3.3,172,444,10,MOLECULE: PECTATE LYASE;
116,3du1-X,8.8,3.4,186,237,5,MOLECULE: ALL3740 PROTEIN;
117,4hwv-A,8.8,3.8,192,498,7,MOLECULE: PECTATE LYASE/AMB ALLERGEN;
118,5b04-J,8.8,12.4,130,428,11,MOLECULE: TRANSLATION INITIATION FACTOR EIF-2B SUBUNIT ALPH
119,3ixc-A,8.8,12.0,130,166,9,MOLECULE: HEXAPEPTIDE TRANSFERASE FAMILY PROTEIN;
120,6qg0-I,8.7,13.1,132,431,8,MOLECULE: TRANSLATION INITIATION FACTOR EIF-2B SUBUNIT ALPH
121,6tgf-D,8.6,5.4,202,687,8,MOLECULE: EXOPOLYSACCHARIDE BIOSYNTHESIS PROTEIN;
122,6s6y-C,8.5,3.2,167,268,8,MOLECULE: FORMYLMETHANOFURAN DEHYDROGENASE SUBUNIT A;
123,5gqc-D,8.5,4.5,220,583,7,MOLECULE: LACTO-N-BIOSIDASE;
124,5gkd-A,8.5,3.9,231,726,7,MOLECULE: ALYGC;
125,3cj8-A,8.5,12.1,129,219,9,MOLECULE: 2_3_4_5-TETRAHYDROPYRIDINE-2_6-DICARBOXYLATE N-
126,3r3r-A,8.5,12.0,146,183,8,MOLECULE: FERRIPYOCHELIN BINDING PROTEIN;
127,4eqy-A,8.4,13.1,172,261,8,MOLECULE: ACYL-[ACYL-CARRIER-PROTEIN]--UDP-N-ACETYLGLUCOSAM
128,6bea-A,8.3,3.5,190,433,12,MOLECULE: AUTOTRANSPORTER PROTEIN UPAB;
129,3mqg-C,8.3,11.9,145,192,8,MOLECULE: LIPOPOLYSACCHARIDES BIOSYNTHESIS ACETYLTRANSFERAS
130,2xtw-B,8.2,3.4,160,215,5,MOLECULE: QNRB1;
131,6fls-D,8.1,3.5,171,217,6,MOLECULE: PENTAPEPTIDE REPEAT FAMILY PROTEIN;
132,1qjv-A,8.0,3.6,180,342,7,MOLECULE: PECTIN METHYLESTERASE;
133,6o81-A,8.0,13.8,123,590,8,MOLECULE: TRANSLATION INITIATION FACTOR EIF-2B SUBUNIT EPSI
134,5c1c-A,8.0,3.9,176,299,14,MOLECULE: PECTINESTERASE;
135,2vhe-A,8.0,12.4,119,194,6,MOLECULE: ACETYLTRANSFERASE;
136,4eaa-A,7.9,12.4,120,210,10,MOLECULE: PEROSAMINE N-ACETYLTRANSFERASE;
137,4m99-A,7.9,12.2,119,206,10,MOLECULE: PILIN GLYCOSYLATION PROTEIN;
138,4fs7-A,7.8,3.6,184,383,7,MOLECULE: UNCHARACTERIZED PROTEIN;
139,3pet-A,7.7,4.2,151,218,7,MOLECULE: PUTATIVE ADHESIN;
140,1gq8-A,7.7,4.1,172,319,12,MOLECULE: PECTINESTERASE;
141,3vbm-E,7.7,12.5,137,193,9,MOLECULE: GALACTOSIDE O-ACETYLTRANSFERASE;
142,5cya-B,7.6,3.1,131,168,10,MOLECULE: TUBULIN-SPECIFIC CHAPERONE C;
143,2w7z-B,7.5,3.7,168,208,6,MOLECULE: PENTAPEPTIDE REPEAT FAMILY PROTEIN;
144,4ojl-C,7.5,3.9,210,759,10,MOLECULE: TAILSPIKE PROTEIN;
145,3grh-A,7.5,4.1,181,397,6,MOLECULE: ACYL-COA THIOESTER HYDROLASE YBGC;
146,5gzt-B,7.5,3.5,146,1134,11,MOLECULE: CHITINASE;
147,1ogm-X,7.4,4.6,213,572,8,MOLECULE: DEXTRANASE;
148,1kru-A,7.4,12.5,127,201,6,MOLECULE: GALACTOSIDE O-ACETYLTRANSFERASE;
149,3n6z-A,7.3,3.5,180,339,7,MOLECULE: PUTATIVE IMMUNOGLOBULIN A1 PROTEASE;
150,6jly-E,7.3,12.2,108,414,6,MOLECULE: TRANSLATION INITIATION FACTOR EIF-2B SUBUNIT ALPH
151,4pmh-A,7.3,3.9,177,366,7,MOLECULE: PECTINESTERASE;
152,2zu0-A,7.2,4.3,177,416,7,MOLECULE: PROTEIN SUFD;
153,2j8k-A,7.2,3.6,153,181,10,MOLECULE: NP275-NP276;
154,5u2k-A,7.2,12.1,111,190,10,MOLECULE: GALACTOSIDE O-ACETYLTRANSFERASE;
155,6z7p-A,7.1,4.1,199,1025,12,MOLECULE: S-LAYER PROTEIN;
156,6zt5-A,7.0,4.2,164,183,5,MOLECULE: PENTAPEPTIDE REPEAT PROTEIN MFPA;
157,6znl-V,7.0,12.3,132,179,6,MOLECULE: ARP1 ACTIN RELATED PROTEIN 1 HOMOLOG A;
158,5keh-A,6.9,3.7,138,242,10,MOLECULE: HEMOLYSIN;
159,4cp6-A,6.9,3.4,153,405,10,MOLECULE: CHOLINE BINDING PROTEIN PCPA;
160,4mzu-F,6.8,11.6,144,294,6,MOLECULE: WXCM-LIKE PROTEIN;
161,4mxn-B,6.4,3.7,162,226,7,MOLECULE: UNCHARACTERIZED PROTEIN;
162,3hjj-A,6.3,12.5,118,189,9,MOLECULE: MALTOSE O-ACETYLTRANSFERASE;
163,7d72-A,6.3,12.0,123,407,9,MOLECULE: MANNOSE-1-PHOSPHATE GUANYLTRANSFERASE BETA;
164,3c8v-C,6.2,13.2,127,465,6,MOLECULE: PUTATIVE ACETYLTRANSFERASE;
165,4h09-D,6.2,3.7,170,377,8,MOLECULE: HYPOTHETICAL LEUCINE RICH REPEAT PROTEIN;
166,2n3d-A,6.1,2.6,101,103,14,MOLECULE: BACTOFILIN A;
167,4dn7-A,6.1,4.6,167,406,5,MOLECULE: ABC TRANSPORTER ATP-BINDING PROTEIN;
168,6ody-A,5.9,4.0,215,693,5,MOLECULE: VACUOLATING CYTOTOXIN AUTOTRANSPORTER;
169,6wqm-D,5.9,11.6,133,281,8,MOLECULE: 2_3_4_5-TETRAHYDROPYRIDINE-2_6-DICARBOXYLATE N-
170,4fd0-A,5.8,4.7,188,391,4,MOLECULE: LEUCINE RICH HYPOTHETICAL PROTEIN;
171,2xt2-A,5.8,3.9,150,197,6,MOLECULE: MCBG-LIKE PROTEIN;
172,1k8f-A,5.8,4.4,125,157,6,MOLECULE: ADENYLYL CYCLASE-ASSOCIATED PROTEIN;
173,1yp3-C,5.8,12.1,100,435,7,MOLECULE: GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE SMALL
174,6lcn-F,5.8,13.6,119,309,8,MOLECULE: SERINE O-ACETYLTRANSFERASE;
175,5awf-A,5.7,6.7,160,385,7,MOLECULE: FES CLUSTER ASSEMBLY PROTEIN SUFB;
176,4ygu-D,5.7,3.7,120,175,11,MOLECULE: PUTATIVE ADHESIN;
177,3r5c-A,5.7,12.7,129,338,11,MOLECULE: TETRAHYDRODIPICOLINATE N-SUCCINYLETRANSFERASE;
178,2rij-A,5.7,12.6,134,381,9,MOLECULE: PUTATIVE 2_3_4_5-TETRAHYDROPYRIDINE-2-CARBOXYLATE
179,6rib-A,5.7,2.5,96,101,6,MOLECULE: BACTOFILIN;
180,3gvd-A,5.6,12.7,125,273,7,MOLECULE: SERINE ACETYLTRANSFERASE;
181,2b0r-A,5.5,4.7,123,164,6,MOLECULE: POSSIBLE ADENYL CYCLASE-ASSOCIATED PROTEIN;
182,3fsy-C,5.4,12.6,122,297,14,MOLECULE: TETRAHYDRODIPICOLINATE N-SUCCINYLTRANSFERASE;
183,4fcg-A,5.3,5.8,156,296,6,MOLECULE: UNCHARACTERIZED PROTEIN;
184,3ult-A,5.3,9.3,107,114,11,MOLECULE: ICE RECRYSTALLIZATION INHIBITION PROTEIN-LIKE PRO
185,1k4z-A,5.3,4.4,120,157,7,MOLECULE: ADENYLYL CYCLASE-ASSOCIATED PROTEIN;
186,5m5z-A,5.2,4.7,195,755,8,MOLECULE: BETA-1_3-GLUCANASE;
187,4hus-B,5.2,12.2,111,214,10,MOLECULE: VIRGINIAMYCIN A ACETYLTRANSFERASE;
188,2g0y-A,5.2,2.9,104,133,7,MOLECULE: PENTAPEPTIDE REPEAT PROTEIN;
189,5l6s-M,5.2,12.2,92,229,8,MOLECULE: GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE;
190,1jta-A,5.2,3.9,166,361,5,MOLECULE: PECTATE LYASE A;
191,3oja-A,5.1,4.4,168,482,11,MOLECULE: LEUCINE-RICH IMMUNE MOLECULE 1;
192,4ay9-X,5.1,4.1,158,307,7,MOLECULE: GLYCOPROTEIN HORMONES ALPHA POLYPEPTIDE;
193,3pr7-A,4.9,8.7,149,292,6,MOLECULE: USPA1;
194,3oja-B,4.8,7.6,179,534,4,MOLECULE: LEUCINE-RICH IMMUNE MOLECULE 1;
195,4oju-A,4.5,3.1,99,143,12,MOLECULE: HYPOTHETICAL LEUCINE RICH REPEAT PROTEIN;
196,3n90-A,4.4,3.2,111,145,6,MOLECULE: THYLAKOID LUMENAL 15 KDA PROTEIN 1 CHLOROPLASTIC
197,7crc-B,4.3,6.0,182,1112,8,MOLECULE: NAD+ HYDROLASE (NADASE);
198,5aj8-A,4.3,3.4,99,168,11,MOLECULE: TUBULIN BINDING COFACTOR C;
199,1z2f-A,4.3,11.0,107,121,7,MOLECULE: ANTIFREEZE PROTEIN ISOFORM 501;
200,5moy-B,4.1,5.9,92,103,12,MOLECULE: BOTULINUM NEUROTOXIN TYPE A;
201,7jlu-A,4.1,4.5,177,726,7,MOLECULE: DISEASE RESISTANCE PROTEIN ROQ1;
202,5y31-B,4.0,7.7,122,511,13,MOLECULE: DISINTEGRIN AND METALLOPROTEINASE DOMAIN-CONTAINI
203,1af0-A,4.0,4.0,134,471,9,MOLECULE: SERRATIA PROTEASE;
204,4qrk-A,4.0,3.9,104,212,9,MOLECULE: HYPOTHETICAL PROTEIN;
205,3g06-A,3.9,5.3,121,601,9,MOLECULE: SSPH2 (LEUCINE-RICH REPEAT PROTEIN);
206,2o6w-A,3.9,3.3,112,147,8,MOLECULE: REPEAT FIVE RESIDUE (RFR) PROTEIN OR
207,2qyu-A,3.7,4.7,151,620,9,MOLECULE: SECRETED EFFECTOR PROTEIN;
208,5xdm-A,3.7,3.4,86,111,6,MOLECULE: PROBABLE SEPTUM SITE-DETERMINING PROTEIN MINC;
209,5uyt-B,3.6,4.4,111,424,16,MOLECULE: ICE-BINDING PROTEIN;
210,2ra8-A,3.4,3.8,127,351,9,MOLECULE: UNCHARACTERIZED PROTEIN Q64V53_BACFR;
211,6uv7-B,3.4,4.5,92,154,7,MOLECULE: ALR1298 PROTEIN;
212,7jm0-B,3.3,13.4,94,274,20,MOLECULE: AMINOCYCLITOL ACETYLTRANSFERASE APMA;
213,6omx-A,3.2,3.2,92,121,2,MOLECULE: ALR5209 PROTEIN;
214,1hf2-B,3.1,3.8,90,206,7,MOLECULE: SEPTUM SITE-DETERMINING PROTEIN MINC;
215,3loh-E,3.1,6.1,117,825,8,MOLECULE: FAB 83-7 HEAVY CHAIN;
216,3sf5-B,3.0,3.2,102,261,6,MOLECULE: UREASE ACCESSORY PROTEIN UREF;
217,6qvi-A,3.0,23.6,101,518,14,MOLECULE: COMZ;
218,1p9h-A,3.0,9.5,110,179,6,MOLECULE: INVASIN;
219,6f45-D,2.9,6.8,98,248,3,MOLECULE: RECEPTOR RECOGNITION PROTEIN;
220,3sb4-A,2.8,5.3,123,329,10,MOLECULE: HYPOTHETICAL LEUCINE RICH REPEAT PROTEIN;
221,3f1x-A,2.2,13.0,122,276,8,MOLECULE: SERINE ACETYLTRANSFERASE;
222,5yys-A,2.2,12.4,101,811,8,MOLECULE: L-FUCOKINASE L-FUCOSE-1-P GUANYLYLTRANSFERASE;
223,6fg7-A,2.1,4.1,106,193,11,MOLECULE: INACTIVE LRR RECEPTOR-LIKE SERINE/THREONINE-PROTE
224,2z8x-A,2.1,14.0,103,616,4,MOLECULE: LIPASE;
