#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-7251704E1167CAF4-4F9FCFABD3E41DF2
#datatype	hitsFull Results
#status	0
#Start time	2020-08-15T16:01:21	Run time	0:00:00:54
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >XP_447567.2Cglabrata_	specific	366205	968	1006	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	968	1006	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	923	961	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	923	961	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	878	916	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	878	916	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	788	826	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	788	826	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	743	781	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	743	781	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	698	736	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	698	736	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	653	691	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	653	691	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	608	646	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	608	646	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	563	601	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	563	601	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	518	556	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	518	556	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	473	511	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	473	511	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	non-specific	367360	1546	1751	0.00013063	46.9374	pfam03154	Atrophin-1	C	cl38111
Q#3 - >XP_447567.2Cglabrata_	superfamily	367360	1546	1751	0.00013063	46.9374	cl38111	Atrophin-1 superfamily	C	 - 
Q#4 - >XP_002614120.1Clusitaniae_	specific	371712	14	329	8.08356e-82	260.239	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#4 - >XP_002614120.1Clusitaniae_	superfamily	371712	14	329	8.08356e-82	260.239	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#5 - >XP_001383953.2Sstipitis_	specific	371712	13	332	9.41168e-95	308.388	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#5 - >XP_001383953.2Sstipitis_	superfamily	371712	13	332	9.41168e-95	308.388	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#6 - >XP_445977.1Cglabrata_	specific	371712	16	333	3.06967e-84	274.106	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#6 - >XP_445977.1Cglabrata_	superfamily	371712	16	333	3.06967e-84	274.106	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#6 - >XP_445977.1Cglabrata_	specific	366205	482	520	2.35472e-06	44.8064	pfam00624	Flocculin	 - 	cl09259
Q#6 - >XP_445977.1Cglabrata_	superfamily	366205	482	520	2.35472e-06	44.8064	cl09259	Flocculin superfamily	 - 	 - 
Q#6 - >XP_445977.1Cglabrata_	specific	366205	392	430	3.22309e-06	44.4212	pfam00624	Flocculin	 - 	cl09259
Q#6 - >XP_445977.1Cglabrata_	superfamily	366205	392	430	3.22309e-06	44.4212	cl09259	Flocculin superfamily	 - 	 - 
Q#6 - >XP_445977.1Cglabrata_	specific	366205	347	385	1.08831e-05	42.8804	pfam00624	Flocculin	 - 	cl09259
Q#6 - >XP_445977.1Cglabrata_	superfamily	366205	347	385	1.08831e-05	42.8804	cl09259	Flocculin superfamily	 - 	 - 
Q#7 - >CLUG_05233Clusitaniae_	specific	371712	13	329	3.65668e-72	244.06	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#7 - >CLUG_05233Clusitaniae_	superfamily	371712	13	329	3.65668e-72	244.06	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	specific	371712	13	342	1.08288e-115	365.783	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	371712	13	342	1.08288e-115	365.783	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223021	643	1000	3.09826e-22	104.635	PHA03247	PHA03247	N	cl33720
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	223021	643	1000	3.09826e-22	104.635	cl33720	PHA03247 superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223021	643	997	2.92956e-17	88.4568	PHA03247	PHA03247	N	cl33720
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223039	642	972	8.05823e-17	86.7636	PHA03307	PHA03307	C	cl33723
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	223039	642	972	8.05823e-17	86.7636	cl33723	PHA03307 superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223021	669	1050	4.12259e-16	84.6048	PHA03247	PHA03247	N	cl33720
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	695	1008	7.0236e-15	80.0301	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	236090	695	1008	7.0236e-15	80.0301	cl35613	PRK07764 superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	642	1000	1.15695e-13	75.7929	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	726	1017	4.87575e-13	73.8669	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	677	1048	2.47665e-12	71.5557	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223003	650	884	2.70766e-12	70.3847	PHA03169	PHA03169	C	cl27451
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	223003	650	884	2.70766e-12	70.3847	cl27451	PHA03169 superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223003	685	936	1.19199e-11	68.4587	PHA03169	PHA03169	C	cl27451
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	367360	723	1012	1.93001e-11	68.8937	pfam03154	Atrophin-1	C	cl38111
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	367360	723	1012	1.93001e-11	68.8937	cl38111	Atrophin-1 superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	752	1075	6.06265e-11	66.9333	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223039	678	1012	6.4068e-11	67.1185	PHA03307	PHA03307	C	cl33723
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223003	642	825	2.54031e-10	64.2216	PHA03169	PHA03169	C	cl27451
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	273344	1050	1286	2.78072e-10	65.0168	TIGR00927	2A1904	NC	cl36772
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	273344	1050	1286	2.78072e-10	65.0168	cl36772	2A1904 superfamily	NC	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223039	690	1131	5.47849e-10	64.4221	PHA03307	PHA03307	C	cl33723
Q#8 - >CPAR2_600430Cparapsilosis_	specific	374168	999	1300	5.70666e-10	62.4485	pfam15847	Loricrin	 - 	cl25694
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	374168	999	1300	5.70666e-10	62.4485	cl25694	Loricrin superfamily	 - 	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	227938	1067	1300	6.8334e-10	63.0237	COG5651	COG5651	N	cl35037
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	227938	1067	1300	6.8334e-10	63.0237	cl35037	COG5651 superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	227938	1004	1302	1.12818e-09	62.6385	COG5651	COG5651	N	cl35037
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	367360	642	1048	2.72591e-09	61.9601	pfam03154	Atrophin-1	C	cl38111
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	227938	1032	1273	3.88004e-09	60.7125	COG5651	COG5651	N	cl35037
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	370676	887	1012	4.32123e-09	61.1938	pfam09770	PAT1	NC	cl37801
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	370676	887	1012	4.32123e-09	61.1938	cl37801	PAT1 superfamily	NC	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	374168	1041	1332	4.65306e-09	59.7521	pfam15847	Loricrin	 - 	cl25694
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	681	889	6.3865e-09	60.3849	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	374168	1060	1336	6.83582e-09	58.9817	pfam15847	Loricrin	 - 	cl25694
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	273344	642	884	9.16725e-09	60.0092	TIGR00927	2A1904	N	cl36772
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	273344	642	884	9.16725e-09	60.0092	cl36772	2A1904 superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223003	742	968	1.08284e-08	59.214	PHA03169	PHA03169	C	cl27451
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	793	1090	1.17729e-08	59.6145	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	642	848	1.24941e-08	59.6145	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223003	760	976	3.19205e-08	57.6732	PHA03169	PHA03169	C	cl27451
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	891	925	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	282710	891	925	3.49741e-08	50.5536	cl04822	PT superfamily	 - 	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	971	1005	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	967	1001	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	963	997	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	959	993	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	975	1009	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	887	921	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	947	981	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	979	1013	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	895	929	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	899	933	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	955	989	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	951	985	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	903	937	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	943	977	3.49741e-08	50.5536	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223065	742	1016	4.01953e-08	58.1547	PHA03378	PHA03378	N	cl33729
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	223065	742	1016	4.01953e-08	58.1547	cl33729	PHA03378 superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	374168	1096	1377	4.14761e-08	56.6705	pfam15847	Loricrin	 - 	cl25694
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	907	941	5.07383e-08	50.1684	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	939	973	5.81935e-08	49.7832	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	883	917	5.81935e-08	49.7832	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	367360	738	1013	6.05685e-08	57.3378	pfam03154	Atrophin-1	C	cl38111
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	919	953	6.11138e-08	49.7832	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223039	830	1204	6.20846e-08	57.4885	PHA03307	PHA03307	C	cl33723
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	223039	830	1204	6.20846e-08	57.4885	cl33723	PHA03307 superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	931	965	6.87346e-08	49.7832	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	923	957	7.28944e-08	49.398	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	911	945	7.36118e-08	49.398	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	935	969	7.43363e-08	49.398	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	915	949	7.50678e-08	49.398	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236669	801	1050	9.75528e-08	57.0171	PRK10263	PRK10263	NC	cl35903
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	236669	801	1050	9.75528e-08	57.0171	cl35903	PRK10263 superfamily	NC	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	927	961	1.01698e-07	49.0128	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	879	913	1.23705e-07	49.0128	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	918	1278	1.28018e-07	56.1477	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	236090	918	1278	1.28018e-07	56.1477	cl35613	PRK07764 superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	374168	1129	1387	1.58942e-07	54.7445	pfam15847	Loricrin	 - 	cl25694
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	781	1098	1.62375e-07	55.7625	PRK07764	PRK07764	N	cl35613
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	875	909	2.43193e-07	48.2424	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223003	757	996	2.76186e-07	54.5916	PHA03169	PHA03169	C	cl27451
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	165527	837	973	3.17525e-07	54.7344	PHA03269	PHA03269	C	cl29788
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	165527	837	973	3.17525e-07	54.7344	cl29788	PHA03269 superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223003	796	1016	3.90957e-07	54.2064	PHA03169	PHA03169	C	cl27451
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	373673	886	1012	4.02144e-07	51.1459	pfam15240	Pro-rich	N	cl26282
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	373673	886	1012	4.02144e-07	51.1459	cl26282	Pro-rich superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	370676	818	1001	4.16022e-07	54.6454	pfam09770	PAT1	C	cl37801
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	369943	823	1007	6.1217e-07	53.933	pfam08549	SWI-SNF_Ssr4	N	cl25487
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	369943	823	1007	6.1217e-07	53.933	cl25487	SWI-SNF_Ssr4 superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	273344	1043	1269	6.14322e-07	54.2312	TIGR00927	2A1904	NC	cl36772
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	983	1014	1.11093e-06	46.3164	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	373673	882	1008	1.13551e-06	49.9903	pfam15240	Pro-rich	N	cl26282
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	373673	890	1014	1.4405e-06	49.6051	pfam15240	Pro-rich	N	cl26282
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	227938	1043	1340	1.49373e-06	52.2381	COG5651	COG5651	N	cl35037
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	373673	878	1004	1.51069e-06	49.6051	pfam15240	Pro-rich	N	cl26282
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	273344	1089	1296	2.11211e-06	52.3052	TIGR00927	2A1904	NC	cl36772
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	165527	873	1013	2.79011e-06	51.6528	PHA03269	PHA03269	C	cl29788
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236669	872	980	3.11005e-06	52.0095	PRK10263	PRK10263	NC	cl35903
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	273344	679	875	3.44951e-06	51.5348	TIGR00927	2A1904	NC	cl36772
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	165527	899	1016	3.73166e-06	51.2676	PHA03269	PHA03269	C	cl29788
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	273344	1007	1229	4.37121e-06	51.5348	TIGR00927	2A1904	NC	cl36772
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	369943	871	1098	8.19976e-06	50.4662	pfam08549	SWI-SNF_Ssr4	N	cl25487
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	273344	971	1211	1.00124e-05	50.3792	TIGR00927	2A1904	NC	cl36772
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	373673	898	1017	1.03012e-05	47.2939	pfam15240	Pro-rich	N	cl26282
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282710	873	905	1.21649e-05	43.2348	pfam04886	PT	 - 	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	374168	955	1251	1.33611e-05	48.9665	pfam15847	Loricrin	 - 	cl25694
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	165527	852	993	1.72389e-05	48.9564	PHA03269	PHA03269	C	cl29788
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	373673	818	968	2.0013e-05	46.1383	pfam15240	Pro-rich	 - 	cl26282
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	237015	834	1018	2.04151e-05	48.1408	PRK11901	PRK11901	C	cl36081
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	237015	834	1018	2.04151e-05	48.1408	cl36081	PRK11901 superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	367362	649	1013	2.22038e-05	48.7906	pfam03157	Glutenin_hmw	NC	cl26620
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	367362	649	1013	2.22038e-05	48.7906	cl26620	Glutenin_hmw superfamily	NC	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	223065	714	1004	2.42224e-05	48.91	PHA03378	PHA03378	N	cl33729
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236669	907	1015	2.72296e-05	48.9279	PRK10263	PRK10263	NC	cl35903
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	315952	883	939	4.33456e-05	47.5616	pfam13388	DUF4106	NC	cl25767
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	315952	883	939	4.33456e-05	47.5616	cl25767	DUF4106 superfamily	NC	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	273344	1142	1335	4.39765e-05	48.068	TIGR00927	2A1904	NC	cl36772
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	315952	943	995	4.76655e-05	47.5616	pfam13388	DUF4106	NC	cl25767
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	315952	947	999	4.76655e-05	47.5616	pfam13388	DUF4106	NC	cl25767
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	315952	951	1003	4.76655e-05	47.5616	pfam13388	DUF4106	NC	cl25767
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	315952	955	1007	4.76655e-05	47.5616	pfam13388	DUF4106	NC	cl25767
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	237605	643	835	4.80707e-05	47.898	PRK14086	dnaA	C	cl36330
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	237605	643	835	4.80707e-05	47.898	cl36330	dnaA superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	specific	282710	987	1015	5.41029e-05	41.3088	pfam04886	PT	C	cl04822
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	282710	987	1015	5.41029e-05	41.3088	cl04822	PT superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	315952	939	991	5.52027e-05	47.1764	pfam13388	DUF4106	NC	cl25767
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	282904	594	1012	5.5322e-05	47.6036	pfam05109	Herpes_BLLF1	N	cl37540
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	282904	594	1012	5.5322e-05	47.6036	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	312941	686	1055	6.40642e-05	47.3104	pfam09606	Med15	C	cl26621
Q#8 - >CPAR2_600430Cparapsilosis_	superfamily	312941	686	1055	6.40642e-05	47.3104	cl26621	Med15 superfamily	C	 - 
Q#8 - >CPAR2_600430Cparapsilosis_	non-specific	236090	646	813	6.71906e-05	47.2881	PRK07764	PRK07764	N	cl35613
