Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein SPAPADRAFT_140900 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,238,238,99%,1e-72,48.18,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007376507.1?report=genbank&log$=prottop&blast_rank=25&RID=RBHFUX65013"",""XP_007376507.1"")"
"ALS family protein, putative [Candida dubliniensis CD36]",Candida dubliniensis CD36,251,251,99%,1e-72,48.57,5151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002419518.1?report=genbank&log$=prottop&blast_rank=26&RID=RBHFUX65013"",""XP_002419518.1"")"
Als7p [Candida albicans SC5314],Candida albicans SC5314,248,248,99%,9e-72,48.57,1568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_716065.2?report=genbank&log$=prottop&blast_rank=27&RID=RBHFUX65013"",""XP_716065.2"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,248,248,98%,9e-72,50.62,1356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002546248.1?report=genbank&log$=prottop&blast_rank=28&RID=RBHFUX65013"",""XP_002546248.1"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,248,248,93%,1e-71,51.29,1610,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002549585.1?report=genbank&log$=prottop&blast_rank=29&RID=RBHFUX65013"",""XP_002549585.1"")"
uncharacterized protein CPAR2_404790 [Candida parapsilosis],Candida parapsilosis,244,244,100%,4e-70,49.40,2392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036667837.1?report=genbank&log$=prottop&blast_rank=30&RID=RBHFUX65013"",""XP_036667837.1"")"
hypothetical protein SPAPADRAFT_134874 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,229,229,99%,2e-69,48.58,448,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007373625.1?report=genbank&log$=prottop&blast_rank=31&RID=RBHFUX65013"",""XP_007373625.1"")"
hypothetical protein CORT_0B00800 [Candida orthopsilosis Co 90-125],Candida orthopsilosis Co 90-125,225,225,99%,8e-68,47.20,432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003867239.2?report=genbank&log$=prottop&blast_rank=32&RID=RBHFUX65013"",""XP_003867239.2"")"
hypothetical protein SPAPADRAFT_141433 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,225,225,99%,1e-67,45.75,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007376508.1?report=genbank&log$=prottop&blast_rank=33&RID=RBHFUX65013"",""XP_007376508.1"")"
hypothetical protein SPAPADRAFT_135549 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,224,224,99%,4e-67,45.93,455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007373627.1?report=genbank&log$=prottop&blast_rank=34&RID=RBHFUX65013"",""XP_007373627.1"")"
Mms21 MMS21-SMC5-SMC6 complex component [Candida orthopsilosis Co 90-125],Candida orthopsilosis Co 90-125,227,227,99%,6e-66,46.80,750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003868698.1?report=genbank&log$=prottop&blast_rank=35&RID=RBHFUX65013"",""XP_003868698.1"")"
hypothetical protein SPAPADRAFT_146555 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,222,222,100%,1e-65,44.76,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007372791.1?report=genbank&log$=prottop&blast_rank=36&RID=RBHFUX65013"",""XP_007372791.1"")"
hypothetical protein SPAPADRAFT_152224 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,220,220,99%,2e-65,44.94,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007375238.1?report=genbank&log$=prottop&blast_rank=37&RID=RBHFUX65013"",""XP_007375238.1"")"
Als7 protein [Candida orthopsilosis Co 90-125],Candida orthopsilosis Co 90-125,229,229,99%,4e-65,46.18,1555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003868699.1?report=genbank&log$=prottop&blast_rank=38&RID=RBHFUX65013"",""XP_003868699.1"")"
hypothetical protein SPAPADRAFT_140483 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,216,216,99%,5e-65,44.13,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007376506.1?report=genbank&log$=prottop&blast_rank=39&RID=RBHFUX65013"",""XP_007376506.1"")"
bacterial adhesin [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,213,213,99%,6e-64,45.38,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020064655.1?report=genbank&log$=prottop&blast_rank=40&RID=RBHFUX65013"",""XP_020064655.1"")"
uncharacterized protein CPAR2_500660 [Candida parapsilosis],Candida parapsilosis,223,223,99%,2e-63,46.00,1023,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036667005.1?report=genbank&log$=prottop&blast_rank=41&RID=RBHFUX65013"",""XP_036667005.1"")"
hypothetical protein LELG_02536 [Lodderomyces elongisporus NRRL YB-4239],Lodderomyces elongisporus NRRL YB-4239,223,223,99%,4e-63,44.84,1286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001525979.1?report=genbank&log$=prottop&blast_rank=42&RID=RBHFUX65013"",""XP_001525979.1"")"
hypothetical protein SPAPADRAFT_136382 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,211,211,99%,3e-62,42.91,473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007374586.1?report=genbank&log$=prottop&blast_rank=43&RID=RBHFUX65013"",""XP_007374586.1"")"
uncharacterized protein CPAR2_404770 [Candida parapsilosis],Candida parapsilosis,218,218,99%,1e-61,44.98,1000,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036667835.1?report=genbank&log$=prottop&blast_rank=44&RID=RBHFUX65013"",""XP_036667835.1"")"
uncharacterized protein CPAR2_404800 [Candida parapsilosis],Candida parapsilosis,219,219,99%,2e-61,44.62,1383,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036667838.1?report=genbank&log$=prottop&blast_rank=45&RID=RBHFUX65013"",""XP_036667838.1"")"
uncharacterized protein CPAR2_404780 [Candida parapsilosis],Candida parapsilosis,216,216,99%,2e-60,44.80,1153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036667836.1?report=genbank&log$=prottop&blast_rank=46&RID=RBHFUX65013"",""XP_036667836.1"")"
hypothetical protein SPAPADRAFT_131476 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,206,206,99%,2e-60,41.06,437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007372029.1?report=genbank&log$=prottop&blast_rank=47&RID=RBHFUX65013"",""XP_007372029.1"")"
hypothetical protein LELG_02721 [Lodderomyces elongisporus NRRL YB-4239],Lodderomyces elongisporus NRRL YB-4239,214,214,99%,6e-60,46.43,1351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001526163.1?report=genbank&log$=prottop&blast_rank=48&RID=RBHFUX65013"",""XP_001526163.1"")"
Agglutinin-like protein 1 precursor [Scheffersomyces stipitis CBS 6054],Scheffersomyces stipitis CBS 6054,203,203,99%,4e-59,43.20,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001382823.2?report=genbank&log$=prottop&blast_rank=49&RID=RBHFUX65013"",""XP_001382823.2"")"
hypothetical protein LELG_05708 [Lodderomyces elongisporus NRRL YB-4239],Lodderomyces elongisporus NRRL YB-4239,207,207,99%,9e-59,41.67,731,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001523162.1?report=genbank&log$=prottop&blast_rank=50&RID=RBHFUX65013"",""XP_001523162.1"")"
hypothetical protein SPAPADRAFT_134426 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,201,201,100%,4e-58,45.56,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007373417.1?report=genbank&log$=prottop&blast_rank=51&RID=RBHFUX65013"",""XP_007373417.1"")"
hypothetical protein SPAPADRAFT_156463 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,199,199,99%,2e-57,39.52,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007376996.1?report=genbank&log$=prottop&blast_rank=52&RID=RBHFUX65013"",""XP_007376996.1"")"
hypothetical protein SPAPADRAFT_137089 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,197,197,99%,3e-57,39.02,437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007374202.1?report=genbank&log$=prottop&blast_rank=53&RID=RBHFUX65013"",""XP_007374202.1"")"
hypothetical protein PGUG_03330 [Meyerozyma guilliermondii ATCC 6260],Meyerozyma guilliermondii ATCC 6260,204,204,99%,3e-56,44.00,1396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001483949.1?report=genbank&log$=prottop&blast_rank=54&RID=RBHFUX65013"",""XP_001483949.1"")"
uncharacterized protein CANTADRAFT_43063 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,191,191,99%,1e-54,44.49,434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020065557.1?report=genbank&log$=prottop&blast_rank=55&RID=RBHFUX65013"",""XP_020065557.1"")"
agglutinin-like protein [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,185,185,99%,5e-52,41.63,475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020062301.1?report=genbank&log$=prottop&blast_rank=56&RID=RBHFUX65013"",""XP_020062301.1"")"
hypothetical protein SPAPADRAFT_49824 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,187,187,100%,6e-52,41.13,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007374407.1?report=genbank&log$=prottop&blast_rank=57&RID=RBHFUX65013"",""XP_007374407.1"")"
hypothetical protein SPAPADRAFT_155003 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,177,177,99%,3e-50,38.49,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007376381.1?report=genbank&log$=prottop&blast_rank=58&RID=RBHFUX65013"",""XP_007376381.1"")"
hypothetical protein SPAPADRAFT_134590 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,185,185,100%,7e-50,37.70,886,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007373346.1?report=genbank&log$=prottop&blast_rank=59&RID=RBHFUX65013"",""XP_007373346.1"")"
hypothetical protein SPAPADRAFT_138016 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,177,177,100%,3e-49,35.60,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007375672.1?report=genbank&log$=prottop&blast_rank=60&RID=RBHFUX65013"",""XP_007375672.1"")"
hypothetical protein SPAPADRAFT_55077 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,172,172,96%,1e-48,37.86,347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007374661.1?report=genbank&log$=prottop&blast_rank=61&RID=RBHFUX65013"",""XP_007374661.1"")"
predicted protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,181,181,100%,4e-48,38.40,1801,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002547932.1?report=genbank&log$=prottop&blast_rank=62&RID=RBHFUX65013"",""XP_002547932.1"")"
hypothetical protein LELG_02716 [Lodderomyces elongisporus NRRL YB-4239],Lodderomyces elongisporus NRRL YB-4239,178,178,91%,4e-47,40.00,1530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001526158.1?report=genbank&log$=prottop&blast_rank=63&RID=RBHFUX65013"",""XP_001526158.1"")"
uncharacterized protein KQ657_005268 [Scheffersomyces spartinae],Scheffersomyces spartinae,177,177,99%,9e-47,39.22,2221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043049612.1?report=genbank&log$=prottop&blast_rank=64&RID=RBHFUX65013"",""XP_043049612.1"")"
hypothetical protein SPAPADRAFT_64434 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,175,175,99%,2e-46,39.52,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007372696.1?report=genbank&log$=prottop&blast_rank=65&RID=RBHFUX65013"",""XP_007372696.1"")"
hypothetical protein LELG_00734 [Lodderomyces elongisporus NRRL YB-4239],Lodderomyces elongisporus NRRL YB-4239,171,171,99%,9e-45,36.65,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001528214.1?report=genbank&log$=prottop&blast_rank=66&RID=RBHFUX65013"",""XP_001528214.1"")"
hypothetical protein PGUG_02302 [Meyerozyma guilliermondii ATCC 6260],Meyerozyma guilliermondii ATCC 6260,169,169,99%,1e-44,36.84,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001484573.1?report=genbank&log$=prottop&blast_rank=67&RID=RBHFUX65013"",""XP_001484573.1"")"
hypothetical protein SPAPADRAFT_50348 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,161,161,99%,3e-44,34.80,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007374987.1?report=genbank&log$=prottop&blast_rank=68&RID=RBHFUX65013"",""XP_007374987.1"")"
hypothetical protein SPAPADRAFT_64435 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,164,164,94%,3e-43,38.72,611,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007372698.1?report=genbank&log$=prottop&blast_rank=69&RID=RBHFUX65013"",""XP_007372698.1"")"
uncharacterized protein CANTEDRAFT_93631 [Yamadazyma tenuis ATCC 10573],Yamadazyma tenuis ATCC 10573,155,155,92%,2e-42,41.56,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006686436.1?report=genbank&log$=prottop&blast_rank=70&RID=RBHFUX65013"",""XP_006686436.1"")"
hypothetical protein SPAPADRAFT_68952 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,159,159,99%,2e-40,35.18,3158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007377896.1?report=genbank&log$=prottop&blast_rank=71&RID=RBHFUX65013"",""XP_007377896.1"")"
uncharacterized protein DIURU_002000 [Diutina rugosa],Diutina rugosa,158,158,99%,2e-40,36.99,1026,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034013133.1?report=genbank&log$=prottop&blast_rank=72&RID=RBHFUX65013"",""XP_034013133.1"")"
hypothetical protein SPAPADRAFT_50349 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,142,142,99%,6e-37,32.13,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007374988.1?report=genbank&log$=prottop&blast_rank=73&RID=RBHFUX65013"",""XP_007374988.1"")"
uncharacterized protein KQ657_000538 [Scheffersomyces spartinae],Scheffersomyces spartinae,144,144,99%,1e-36,33.20,481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043049019.1?report=genbank&log$=prottop&blast_rank=74&RID=RBHFUX65013"",""XP_043049019.1"")"
hypothetical protein HYPBUDRAFT_154124 [Hyphopichia burtonii NRRL Y-1933],Hyphopichia burtonii NRRL Y-1933,137,137,99%,1e-34,34.51,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020073834.1?report=genbank&log$=prottop&blast_rank=75&RID=RBHFUX65013"",""XP_020073834.1"")"
uncharacterized protein CANTADRAFT_41270 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,134,134,91%,8e-33,35.34,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020061849.1?report=genbank&log$=prottop&blast_rank=76&RID=RBHFUX65013"",""XP_020061849.1"")"
hypothetical protein HYPBUDRAFT_223972 [Hyphopichia burtonii NRRL Y-1933],Hyphopichia burtonii NRRL Y-1933,132,132,99%,9e-32,34.51,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020075327.1?report=genbank&log$=prottop&blast_rank=77&RID=RBHFUX65013"",""XP_020075327.1"")"
uncharacterized protein CJI97_004954 [[Candida] auris],[Candida] auris,131,131,95%,4e-31,33.88,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028889001.1?report=genbank&log$=prottop&blast_rank=78&RID=RBHFUX65013"",""XP_028889001.1"")"
hypothetical protein PGUG_03259 [Meyerozyma guilliermondii ATCC 6260],Meyerozyma guilliermondii ATCC 6260,129,129,99%,4e-30,36.44,2340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001485530.1?report=genbank&log$=prottop&blast_rank=79&RID=RBHFUX65013"",""XP_001485530.1"")"
hypothetical protein CXQ85_004547 [[Candida] haemuloni],[Candida] haemuloni,127,127,94%,2e-29,34.30,1834,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025341969.1?report=genbank&log$=prottop&blast_rank=80&RID=RBHFUX65013"",""XP_025341969.1"")"
hypothetical protein CLUG_03274 [Clavispora lusitaniae ATCC 42720],Clavispora lusitaniae ATCC 42720,126,126,97%,3e-29,34.27,2785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002616033.1?report=genbank&log$=prottop&blast_rank=81&RID=RBHFUX65013"",""XP_002616033.1"")"
uncharacterized protein CANTADRAFT_68585 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,125,125,91%,4e-29,35.00,664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020063982.1?report=genbank&log$=prottop&blast_rank=82&RID=RBHFUX65013"",""XP_020063982.1"")"
hypothetical protein SPAPADRAFT_153035 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,125,125,99%,4e-29,32.17,608,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007375573.1?report=genbank&log$=prottop&blast_rank=83&RID=RBHFUX65013"",""XP_007375573.1"")"
uncharacterized protein CJI97_004175 [[Candida] auris],[Candida] auris,125,125,95%,8e-29,33.74,1804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028889036.1?report=genbank&log$=prottop&blast_rank=84&RID=RBHFUX65013"",""XP_028889036.1"")"
uncharacterized protein CXQ87_001667 [[Candida] duobushaemulonis],[Candida] duobushaemulonis,125,125,94%,8e-29,33.75,2673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025334501.1?report=genbank&log$=prottop&blast_rank=85&RID=RBHFUX65013"",""XP_025334501.1"")"
hypothetical protein C7M61_003783 [[Candida] pseudohaemulonii],[Candida] pseudohaemulonii,125,125,100%,9e-29,32.68,1257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024712791.1?report=genbank&log$=prottop&blast_rank=86&RID=RBHFUX65013"",""XP_024712791.1"")"
uncharacterized protein DIURU_001395 [Diutina rugosa],Diutina rugosa,121,121,99%,1e-27,33.06,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034013752.1?report=genbank&log$=prottop&blast_rank=87&RID=RBHFUX65013"",""XP_034013752.1"")"
uncharacterized protein CANTADRAFT_29324 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,118,118,91%,2e-27,33.20,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020062153.1?report=genbank&log$=prottop&blast_rank=88&RID=RBHFUX65013"",""XP_020062153.1"")"
