name	id	strain	length	species_id	frv.score	frv.pred	faa.score	faa.pred	signalp	pred.gpi
PSK76857.1_B11243_Cauris	PSK76857.1	B11243	3010	Cauris	2.0694483	TRUE	-0.31680163	TRUE	TRUE	TRUE
PSK76858.1_B11243_Cauris	PSK76858.1	B11243	664	Cauris	0.93901564	TRUE	0.72347611	TRUE	TRUE	TRUE
PSK79346.1_B11243_Cauris	PSK79346.1	B11243	1247	Cauris	1.8152158	TRUE	0.18383177	TRUE	TRUE	TRUE
PSK79348.1_B11243_Cauris	PSK79348.1	B11243	722	Cauris	1.3058736	TRUE	-0.68190059	TRUE	TRUE	TRUE
PSK79720.1_B11243_Cauris	PSK79720.1	B11243	717	Cauris	0.63331895	TRUE	-0.98081198	FALSE	TRUE	TRUE
QEO22143.1_B11220_Cauris	QEO22143.1	B11220	805	Cauris	1.0652341	TRUE	-1.6105821	FALSE	TRUE	TRUE
QEO24213.1_B11220_Cauris	QEO24213.1	B11220	666	Cauris	0.89922949	TRUE	0.69917458	TRUE	TRUE	TRUE
QEO24533.1_B11220_Cauris	QEO24533.1	B11220	718	Cauris	0.63274301	TRUE	-1.0419045	FALSE	TRUE	TRUE
XP_028887965.1_B11221_Cauris	XP_028887965.1	B11221	787	Cauris	1.3597321	TRUE	-0.88021147	FALSE	TRUE	TRUE
XP_028888611.1_B11221_Cauris	XP_028888611.1	B11221	1704	Cauris	2.2529493	TRUE	0.064144548	TRUE	TRUE	TRUE
XP_028889033.1_B11221_Cauris	XP_028889033.1	B11221	3052	Cauris	2.0716514	TRUE	-0.3421337	TRUE	TRUE	TRUE
XP_028889034.1_B11221_Cauris	XP_028889034.1	B11221	662	Cauris	0.91404456	TRUE	0.65909508000000006	TRUE	TRUE	TRUE
XP_028889361.1_B11221_Cauris	XP_028889361.1	B11221	717	Cauris	0.63070223	TRUE	-0.98563429	FALSE	TRUE	TRUE
XP_028892087.1_B11221_Cauris	XP_028892087.1	B11221	833	Cauris	1.0361986	TRUE	-1.6335682	FALSE	TRUE	TRUE
XP_028892406.1_B11221_Cauris	XP_028892406.1	B11221	1375	Cauris	1.7933796	TRUE	-0.044774574	TRUE	TRUE	TRUE
XP_025344407.1_Chaemuloni	XP_025344407.1	B11899	4416	Chaemuloni	1.8671651	TRUE	0.69760543	TRUE	TRUE	TRUE
