>B9J08_004098_Cauris | FPrate:0.000 | OMEGA:S-1222
>XP_447567.2_Cglabrata | FPrate:0.001 | OMEGA:S-1746
>XP_452176.1_Klactis | FPrate:0.001 | OMEGA:T-736
>XP_462630.1_Dhansenii | FPrate:0.001 | OMEGA:Y-750
>XP_711686.2_Calbicans | FPrate:0.001 | OMEGA:N-1538
>XP_715137.2_Calbicans | FPrate:0.001 | OMEGA:G-918
>XP_715535.1_Calbicans | FPrate:0.001 | OMEGA:S-1286
>XP_717330.2_Calbicans | FPrate:0.001 | OMEGA:G-918
>XP_024712318.1_Cpseudohaemulonis | FPrate:0.003 | OMEGA:E-3554
>XP_025341988.1_Chaemuloni | FPrate:0.003 | OMEGA:S-942
>XP_001523105.1_Lelongisporus | FPrate:0.004 | OMEGA:I-3472
>XP_445977.1_Cglabrata | FPrate:0.004 | OMEGA:N-943
>CPAR2_806420_Cparapsilosis | FPrate:0.005 | OMEGA:N-1690
>XP_002614815.1_Clusitaniae | FPrate:0.005 | OMEGA:S-643
>XP_002547904.1_Ctropicalis | FPrate:0.008 | OMEGA:S-1018
>XP_002550387.1_Ctropicalis | FPrate:0.009 | OMEGA:S-566
>XP_717969.1_Calbicans | FPrate:0.026 | OMEGA:V-1194
>XP_002549927.1_Ctropicalis | FPrate:0.036 | OMEGA:S-905
>XP_002550900.1_Ctropicalis | FPrate:0.036 | OMEGA:S-641
>XP_002614120.1_Clusitaniae | FPrate:0.036 | OMEGA:S-599
>NADE0s05e04136g_Ndelphensis | FPrate:0.154 | OMEGA:N-386
>XP_002419003.1_Cdubliniensis | FPrate:0.216 | OMEGA:I-505
>XP_717774.1_Calbicans | FPrate:0.252 | OMEGA:I-480
>XP_002547617.1_Ctropicalis | FPrate:0.394 | OMEGA:S-804
>XP_001385882.2_Sstipitis | FPrate:0.493 | OMEGA:G-560
>XP_002547615.1_Ctropicalis | FPrate:0.756 | OMEGA:E-724
>XP_001386404.2_Sstipitis | FPrate:0.855 | OMEGA:V-532
>XP_001386379.2_Sstipitis | FPrate:0.919 | OMEGA:S-480
>CPAR2_806390_Cparapsilosis | FPrate:1.000 | OMEGA:Y-1615
>XP_024716365.1_Cpseudohaemulonis | FPrate:0.000 | OMEGA:E-2246
>XP_717775.2_Calbicans | FPrate:0.000 | OMEGA:N-1219
>XP_002547616.1_Ctropicalis | FPrate:0.001 | OMEGA:N-1602
>XP_002770240.1_Dhansenii | FPrate:0.001 | OMEGA:N-926
>XP_036665264.1_Cparapsilosis | FPrate:0.001 | OMEGA:Y-1647
>XP_002545510.1_Ctropicalis | FPrate:0.026 | OMEGA:S-636
>XP_002614115.1_Clusitaniae | FPrate:0.627 | OMEGA:S-752
