#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1FC416A74EC540DB-3A1029092067A0AC
#datatype	hitsConcise Results
#status	0
#Start time	2022-05-10T01:39:07	Run time	0:00:03:39
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#11 - >XP_025337653.1 uncharacterized protein CXQ87_005009 [[Candida] duobushaemulonis]	superfamily	310411	326	500	2.11397e-05	47.2517	cl37738	TFIIF_alpha superfamily	N	 - 
Q#12 - >XP_025342839.1 hypothetical protein CXQ85_004563 [[Candida] haemuloni]	specific	403079	13	322	3.35209e-72	243.676	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#13 - >XP_025334500.1 uncharacterized protein CXQ87_001666 [[Candida] duobushaemulonis]	specific	403079	14	319	1.14853e-68	232.12	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#13 - >XP_025334500.1 uncharacterized protein CXQ87_001666 [[Candida] duobushaemulonis]	superfamily	367362	814	923	2.14524e-05	48.4054	cl26620	Glutenin_hmw superfamily	NC	 - 
Q#13 - >XP_025334500.1 uncharacterized protein CXQ87_001666 [[Candida] duobushaemulonis]	superfamily	282904	469	895	0.00752019	40.2848	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#14 - >XP_028887965.1 uncharacterized protein CJI97_005649 [[Candida] auris]	specific	403079	12	321	1.10994e-71	237.512	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#14 - >XP_028887965.1 uncharacterized protein CJI97_005649 [[Candida] auris]	superfamily	312941	462	588	3.96489e-07	53.4736	cl26621	Med15 superfamily	NC	 - 
Q#15 - >XP_025343300.1 hypothetical protein CXQ85_004928 [[Candida] haemuloni]	specific	403079	2	306	1.8306e-65	225.571	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#16 - >XP_028889034.1 uncharacterized protein CJI97_004173 [[Candida] auris]	specific	403079	15	323	1.82334e-67	223.645	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#17 - >XP_024712323.1 hypothetical protein C7M61_004332 [[Candida] pseudohaemulonii]	specific	403079	15	316	6.31511e-64	212.86	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#17 - >XP_024712323.1 hypothetical protein C7M61_004332 [[Candida] pseudohaemulonii]	superfamily	424334	276	388	6.51049e-05	42.8567	cl40703	Trypan_PARP superfamily	C	 - 
Q#18 - >XP_024711259.1 hypothetical protein C7M61_005282 [[Candida] pseudohaemulonii]	specific	403079	15	318	2.87284e-59	202.459	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#18 - >XP_024711259.1 hypothetical protein C7M61_005282 [[Candida] pseudohaemulonii]	superfamily	144541	335	463	0.00151661	39.8785	cl25812	MSA_2 superfamily	 - 	 - 
Q#19 - >XP_025335995.1 uncharacterized protein CXQ87_005334 [[Candida] duobushaemulonis]	specific	403079	15	323	1.10982e-62	212.089	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#20 - >XP_024711351.1 hypothetical protein C7M61_005119 [[Candida] pseudohaemulonii]	specific	403079	12	317	4.77025e-58	203.615	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#21 - >XP_028892406.1 uncharacterized protein CJI97_001778 [[Candida] auris]	specific	403079	10	312	6.87571e-66	225.956	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#22 - >XP_025338053.1 uncharacterized protein CXQ87_004674 [[Candida] duobushaemulonis]	specific	403079	12	313	2.08832e-56	198.993	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#23 - >XP_025337648.1 uncharacterized protein CXQ87_005004 [[Candida] duobushaemulonis]	specific	403079	14	318	1.302e-70	239.824	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#23 - >XP_025337648.1 uncharacterized protein CXQ87_005004 [[Candida] duobushaemulonis]	superfamily	407690	335	688	6.59507e-09	59.9735	cl39316	DUF5585 superfamily	C	 - 
Q#24 - >XP_024712318.1 hypothetical protein C7M61_004327 [[Candida] pseudohaemulonii]	specific	403079	14	318	4.42998e-64	222.104	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#24 - >XP_024712318.1 hypothetical protein C7M61_004327 [[Candida] pseudohaemulonii]	specific	403079	1308	1603	9.71439e-50	180.888	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#24 - >XP_024712318.1 hypothetical protein C7M61_004327 [[Candida] pseudohaemulonii]	superfamily	310411	462	622	0.000118476	47.6369	cl37738	TFIIF_alpha superfamily	N	 - 
Q#25 - >XP_025343289.1 hypothetical protein CXQ85_005377 [[Candida] haemuloni]	specific	403079	14	319	9.27909e-69	233.66	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#26 - >XP_024716365.1 hypothetical protein C7M61_001353 [[Candida] pseudohaemulonii]	specific	403079	5	261	2.70805e-45	167.406	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#27 - >XP_024716363.1 hypothetical protein C7M61_001351 [[Candida] pseudohaemulonii]	specific	403079	13	315	1.9498e-68	232.505	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#27 - >XP_024716363.1 hypothetical protein C7M61_001351 [[Candida] pseudohaemulonii]	superfamily	366900	1052	1107	0.00129311	42.0098	cl37654	MARCKS superfamily	N	 - 
Q#28 - >XP_024711350.1 hypothetical protein C7M61_005118 [[Candida] pseudohaemulonii]	specific	403079	13	315	4.14199e-53	187.051	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#29 - >XP_025341988.1 hypothetical protein CXQ85_000013 [[Candida] haemuloni]	specific	403079	14	325	9.81455e-63	215.556	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#29 - >XP_025341988.1 hypothetical protein CXQ85_000013 [[Candida] haemuloni]	superfamily	424334	348	427	7.97029e-05	43.6271	cl40703	Trypan_PARP superfamily	N	 - 
Q#29 - >XP_025341988.1 hypothetical protein CXQ85_000013 [[Candida] haemuloni]	superfamily	401607	405	560	0.000278509	44.8345	cl25928	Macoilin superfamily	NC	 - 
Q#29 - >XP_025341988.1 hypothetical protein CXQ85_000013 [[Candida] haemuloni]	superfamily	407690	611	886	0.00842773	39.9431	cl39316	DUF5585 superfamily	C	 - 
Q#30 - >XP_462630.1 DEHA2G24970p [Debaryomyces hansenii CBS767]	specific	403079	14	328	2.99658e-73	241.364	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#30 - >XP_462630.1 DEHA2G24970p [Debaryomyces hansenii CBS767]	superfamily	397323	349	581	8.73853e-06	49.2842	cl38111	Atrophin-1 superfamily	C	 - 
Q#31 - >XP_018712269.1 hypothetical protein METBIDRAFT_24535, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	1	311	1.55561e-72	228.268	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#32 - >XP_018709942.1 hypothetical protein METBIDRAFT_46484, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	15	328	1.14104e-72	228.653	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#33 - >XP_002770057.1 DEHA2B01452p [Debaryomyces hansenii CBS767]	specific	403079	13	331	1.73112e-75	254.076	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#33 - >XP_002770057.1 DEHA2B01452p [Debaryomyces hansenii CBS767]	specific	282710	1237	1271	0.00028271	39.768	pfam04886	PT	 - 	cl04822
Q#33 - >XP_002770057.1 DEHA2B01452p [Debaryomyces hansenii CBS767]	specific	282710	1274	1308	0.000520107	38.9976	pfam04886	PT	 - 	cl04822
Q#34 - >XP_025341634.1 hypothetical protein CXQ85_004198 [[Candida] haemuloni]	specific	403079	16	327	5.61356e-61	209.008	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#34 - >XP_025341634.1 hypothetical protein CXQ85_004198 [[Candida] haemuloni]	specific	405837	637	790	1.451e-07	51.9622	pfam15240	Pro-rich	N	cl26282
Q#35 - >XP_025336698.1 uncharacterized protein CXQ87_003607 [[Candida] duobushaemulonis]	specific	403079	14	330	2.81798e-49	177.421	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#35 - >XP_025336698.1 uncharacterized protein CXQ87_003607 [[Candida] duobushaemulonis]	superfamily	282904	334	692	0.000639653	43.7516	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#36 - >XP_028892087.1 uncharacterized protein CJI97_001451 [[Candida] auris]	specific	403079	14	325	9.73531e-59	202.845	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#37 - >XP_025344020.1 hypothetical protein CXQ85_002807 [[Candida] haemuloni]	specific	403079	14	323	5.4961e-66	221.334	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#37 - >XP_025344020.1 hypothetical protein CXQ85_002807 [[Candida] haemuloni]	superfamily	397323	314	453	0.000994552	42.7358	cl38111	Atrophin-1 superfamily	C	 - 
Q#38 - >XP_025335681.1 uncharacterized protein CXQ87_005017 [[Candida] duobushaemulonis]	specific	403079	24	323	5.68261e-50	180.118	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#38 - >XP_025335681.1 uncharacterized protein CXQ87_005017 [[Candida] duobushaemulonis]	superfamily	401087	368	430	0.00371029	38.9624	cl07569	EBP50_C superfamily	C	 - 
Q#39 - >XP_024711300.1 hypothetical protein C7M61_005183 [[Candida] pseudohaemulonii]	specific	403079	14	323	3.17818e-46	168.562	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#39 - >XP_024711300.1 hypothetical protein C7M61_005183 [[Candida] pseudohaemulonii]	superfamily	282904	335	696	0.00418251	40.67	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#40 - >XP_028889361.1 uncharacterized protein CJI97_004515 [[Candida] auris]	specific	403079	16	318	1.05457e-54	190.518	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#41 - >XP_018709340.1 hypothetical protein METBIDRAFT_47683 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	15	326	6.0268e-64	210.934	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#42 - >XP_025344415.1 hypothetical protein CXQ85_003765 [[Candida] haemuloni]	specific	403079	14	337	7.87813e-48	174.34	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#43 - >XP_024713725.1 hypothetical protein C7M61_002963 [[Candida] pseudohaemulonii]	specific	403079	16	313	5.07604e-48	173.184	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#44 - >XP_025339494.1 uncharacterized protein CXQ87_001485 [[Candida] duobushaemulonis]	specific	403079	16	313	2.96463e-52	185.511	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#44 - >XP_025339494.1 uncharacterized protein CXQ87_001485 [[Candida] duobushaemulonis]	superfamily	407690	438	725	0.00140601	42.2543	cl39316	DUF5585 superfamily	C	 - 
Q#45 - >XP_025336343.1 uncharacterized protein CXQ87_003243 [[Candida] duobushaemulonis]	specific	403079	14	347	7.56824e-55	190.518	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#46 - >XP_024713752.1 hypothetical protein C7M61_002453 [[Candida] pseudohaemulonii]	specific	403079	12	357	6.24876e-55	192.059	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#46 - >XP_024713752.1 hypothetical protein C7M61_002453 [[Candida] pseudohaemulonii]	superfamily	369001	686	777	0.00132834	40.5313	cl25757	Neuromodulin superfamily	NC	 - 
Q#47 - >XP_025344412.1 hypothetical protein CXQ85_003762 [[Candida] haemuloni]	specific	403079	7	307	1.86568e-46	170.488	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#48 - >XP_018710225.1 hypothetical protein METBIDRAFT_13435 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	16	320	3.66178e-56	184.74	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#49 - >XP_018710224.1 hypothetical protein METBIDRAFT_33330, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	1	216	4.18082e-50	173.955	pfam11765	Hyphal_reg_CWP	N	cl13246
Q#50 - >XP_018710762.1 hypothetical protein METBIDRAFT_32261 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	14	323	5.03842e-46	158.932	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#51 - >XP_018713570.1 hypothetical protein METBIDRAFT_9402 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	13	294	8.89972e-43	150.457	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#52 - >XP_018714228.1 hypothetical protein METBIDRAFT_30159, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	5	314	6.25169e-42	147.761	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#53 - >XP_018714595.1 hypothetical protein METBIDRAFT_30457 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	12	322	7.94778e-39	139.672	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#54 - >XP_018709273.1 hypothetical protein METBIDRAFT_33874 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	14	323	6.70756e-46	158.547	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#55 - >XP_018709275.1 hypothetical protein METBIDRAFT_33876, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	5	314	7.92781e-33	123.879	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#56 - >XP_006687291.1 uncharacterized protein CANTEDRAFT_135304 [Yamadazyma tenuis ATCC 10573]	specific	403079	18	220	3.64727e-66	207.082	pfam11765	Hyphal_reg_CWP	C	cl13246
Q#57 - >XP_001523310.1 hypothetical protein LELG_05536 [Lodderomyces elongisporus NRRL YB-4239]	specific	403079	13	193	2.52673e-81	244.446	pfam11765	Hyphal_reg_CWP	C	cl13246
Q#58 - >XP_001526001.1 hypothetical protein LELG_02559 [Lodderomyces elongisporus NRRL YB-4239]	specific	403079	13	193	6.29113e-82	245.987	pfam11765	Hyphal_reg_CWP	C	cl13246
Q#59 - >XP_006684153.1 uncharacterized protein CANTEDRAFT_112457, partial [Yamadazyma tenuis ATCC 10573]	specific	403079	11	207	2.22642e-72	222.104	pfam11765	Hyphal_reg_CWP	C	cl13246
Q#60 - >XP_018713134.1 hypothetical protein METBIDRAFT_11451 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	14	326	6.38922e-42	149.302	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#61 - >XP_018712964.1 hypothetical protein METBIDRAFT_31361 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	13	301	2.03478e-43	152.383	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#62 - >XP_018714655.1 hypothetical protein METBIDRAFT_30503 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	22	324	1.41708e-45	157.776	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#63 - >XP_018712348.1 hypothetical protein METBIDRAFT_19111, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	1	180	2.09427e-23	94.6034	cl13246	Hyphal_reg_CWP superfamily	C	 - 
Q#64 - >XP_018714824.1 hypothetical protein METBIDRAFT_30639 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	19	311	3.08211e-43	152.383	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#65 - >XP_018709277.1 hypothetical protein METBIDRAFT_48120 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	specific	403079	14	299	1.1536e-45	158.161	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#66 - >XP_018710226.1 hypothetical protein METBIDRAFT_219071 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	13	320	8.24786e-34	131.583	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#66 - >XP_018710226.1 hypothetical protein METBIDRAFT_219071 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	282904	445	608	0.00658183	39.5144	cl37540	Herpes_BLLF1 superfamily	NC	 - 
Q#67 - >XP_018710946.1 hypothetical protein METBIDRAFT_32429 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	14	322	8.67794e-44	152.769	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#68 - >XP_018712283.1 hypothetical protein METBIDRAFT_10716 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	14	315	2.17189e-42	149.687	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#69 - >XP_018713972.1 hypothetical protein METBIDRAFT_106429 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	40	335	7.57999e-35	129.657	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#70 - >XP_018709279.1 hypothetical protein METBIDRAFT_18603, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	1	176	1.71605e-20	86.129	cl13246	Hyphal_reg_CWP superfamily	C	 - 
Q#71 - >XP_018714230.1 hypothetical protein METBIDRAFT_51084, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	14	197	3.70036e-25	99.2258	cl13246	Hyphal_reg_CWP superfamily	C	 - 
Q#72 - >XP_003959171.1 hypothetical protein KAFR_0I02570 [Kazachstania africana CBS 2517]	specific	403079	17	327	2.91832e-52	184.355	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#73 - >XP_018710763.1 hypothetical protein METBIDRAFT_32263, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	6	256	9.68646e-24	97.2998	cl13246	Hyphal_reg_CWP superfamily	N	 - 
Q#74 - >XP_015465113.1 uncharacterized protein AC631_05239, partial [Debaryomyces fabryi]	specific	403079	12	398	4.44266e-59	195.526	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#75 - >XP_002770240.1 DEHA2D00132p [Debaryomyces hansenii CBS767]	specific	403079	12	398	2.02072e-52	186.281	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#75 - >XP_002770240.1 DEHA2D00132p [Debaryomyces hansenii CBS767]	superfamily	282904	389	661	2.24175e-09	61.4708	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#76 - >XP_002614829.1 hypothetical protein CLUG_04844 [Clavispora lusitaniae ATCC 42720]	specific	403079	12	284	1.70597e-74	243.29	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#77 - >XP_003958180.1 hypothetical protein KAFR_0G00120 [Kazachstania africana CBS 2517]	superfamily	403079	9	217	1.8326e-32	123.879	cl13246	Hyphal_reg_CWP superfamily	N	 - 
Q#78 - >XP_018709274.1 hypothetical protein METBIDRAFT_33875 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	6	256	6.59931e-23	94.9886	cl13246	Hyphal_reg_CWP superfamily	N	 - 
Q#79 - >XP_003959752.1 hypothetical protein KAFR_0K02610 [Kazachstania africana CBS 2517]	superfamily	403079	13	309	7.62253e-29	118.871	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#79 - >XP_003959752.1 hypothetical protein KAFR_0K02610 [Kazachstania africana CBS 2517]	superfamily	282904	708	1141	2.9613e-05	48.7592	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#79 - >XP_003959752.1 hypothetical protein KAFR_0K02610 [Kazachstania africana CBS 2517]	superfamily	282904	974	1492	0.000190882	46.0628	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#80 - >XP_018709944.1 hypothetical protein METBIDRAFT_223058, partial [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	12	250	5.3242e-18	84.5882	cl13246	Hyphal_reg_CWP superfamily	C	 - 
Q#81 - >XP_003959960.1 hypothetical protein KAFR_0L02140, partial [Kazachstania africana CBS 2517]	superfamily	403079	61	324	1.97446e-26	112.708	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#81 - >XP_003959960.1 hypothetical protein KAFR_0L02140, partial [Kazachstania africana CBS 2517]	superfamily	282904	2097	2564	0.000379843	46.448	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#81 - >XP_003959960.1 hypothetical protein KAFR_0L02140, partial [Kazachstania africana CBS 2517]	superfamily	282904	1817	2202	0.00916955	41.8256	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#82 - >XP_002614115.1 hypothetical protein CLUG_05601, partial [Clavispora lusitaniae ATCC 42720]	specific	403079	22	307	1.92455e-72	239.438	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#83 - >XP_018713950.1 hypothetical protein METBIDRAFT_9730 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	103	310	1.17353e-26	106.93	cl13246	Hyphal_reg_CWP superfamily	N	 - 
Q#84 - >XP_018714578.1 hypothetical protein METBIDRAFT_228734 [Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993]	superfamily	403079	17	205	1.43064e-21	90.3662	cl13246	Hyphal_reg_CWP superfamily	C	 - 
Q#85 - >XP_722183.2 Hyr1p [Candida albicans SC5314]	specific	403079	13	328	8.89085e-117	359.236	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#86 - >XP_002420471.1 hyphally-regulated cell wall protein precursor, putative [Candida dubliniensis CD36]	specific	403079	11	333	6.16437e-139	417.401	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#86 - >XP_002420471.1 hyphally-regulated cell wall protein precursor, putative [Candida dubliniensis CD36]	specific	374113	617	657	1.55273e-06	45.5068	pfam15789	Hyr1	 - 	cl24377
Q#86 - >XP_002420471.1 hyphally-regulated cell wall protein precursor, putative [Candida dubliniensis CD36]	specific	374113	494	534	2.99626e-06	44.7364	pfam15789	Hyr1	 - 	cl24377
Q#86 - >XP_002420471.1 hyphally-regulated cell wall protein precursor, putative [Candida dubliniensis CD36]	specific	374113	535	575	2.99626e-06	44.7364	pfam15789	Hyr1	 - 	cl24377
Q#86 - >XP_002420471.1 hyphally-regulated cell wall protein precursor, putative [Candida dubliniensis CD36]	specific	374113	576	616	6.83321e-06	43.5808	pfam15789	Hyr1	 - 	cl24377
Q#87 - >XP_714203.1 Hyr3p [Candida albicans SC5314]	specific	403079	13	335	1.60253e-150	455.535	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#87 - >XP_714203.1 Hyr3p [Candida albicans SC5314]	specific	374113	769	809	1.69482e-06	45.892	pfam15789	Hyr1	 - 	cl24377
Q#87 - >XP_714203.1 Hyr3p [Candida albicans SC5314]	specific	374113	810	850	4.17973e-06	44.7364	pfam15789	Hyr1	 - 	cl24377
Q#88 - >XP_002547764.1 conserved hypothetical protein [Candida tropicalis MYA-3404]	specific	403079	12	333	2.0369e-156	474.41	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#88 - >XP_002547764.1 conserved hypothetical protein [Candida tropicalis MYA-3404]	specific	374113	660	701	1.84807e-07	48.5884	pfam15789	Hyr1	 - 	cl24377
Q#88 - >XP_002547764.1 conserved hypothetical protein [Candida tropicalis MYA-3404]	specific	374113	408	449	2.55376e-07	48.2032	pfam15789	Hyr1	 - 	cl24377
Q#88 - >XP_002547764.1 conserved hypothetical protein [Candida tropicalis MYA-3404]	specific	374113	450	491	2.55376e-07	48.2032	pfam15789	Hyr1	 - 	cl24377
Q#88 - >XP_002547764.1 conserved hypothetical protein [Candida tropicalis MYA-3404]	specific	374113	492	533	2.55376e-07	48.2032	pfam15789	Hyr1	 - 	cl24377
Q#88 - >XP_002547764.1 conserved hypothetical protein [Candida tropicalis MYA-3404]	specific	374113	534	575	2.55376e-07	48.2032	pfam15789	Hyr1	 - 	cl24377
Q#88 - >XP_002547764.1 conserved hypothetical protein [Candida tropicalis MYA-3404]	specific	374113	702	743	2.55376e-07	48.2032	pfam15789	Hyr1	 - 	cl24377
Q#88 - >XP_002547764.1 conserved hypothetical protein [Candida tropicalis MYA-3404]	specific	374113	618	659	1.25024e-06	46.2772	pfam15789	Hyr1	 - 	cl24377
