Accession,Organism,Query,Rank Per Query,Rank Per Subject,Align Length,E-Value,Score,Identity,Query Coverage
B9J08_004892-t37_1-p1,Candida auris strain B8441,Caur_Hil1,7,1,315,4.20937e-169,516.538,0.834920634920635,0.9968354430379747
CTRG_04224-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,7,1,333,2.6837e-83,274.633,0.4444444444444444,1
CAH02569.1,Kluyveromyces lactis NRRL Y-1140,Cgla_Hyr1,7,1,304,1.09083e-21,100.908,0.3092105263157895,0.9054878048780488
PIS49873.1,Candida auris strain B11221,Caur_Hil1,8,1,315,6.08717e-169,515.768,0.834920634920635,0.9968354430379747
CTRG_05838-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,8,1,325,3.22746e-82,276.559,0.4523076923076923,0.9660493827160493
EDK37104.2,Meyerozyma guilliermondii ATCC 6260,Cgla_Hyr1,8,3,333,1.62143e-21,100.523,0.3213213213213213,0.9878048780487805
CXQ85_003766-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,9,1,313,2.33657e-162,506.138,0.8210862619808307,0.990506329113924
CTMYA2_000690.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,9,1,325,3.28067e-82,276.174,0.4523076923076923,0.9660493827160493
CTRG_04224-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,9,3,310,1.49488e-19,94.7449,0.3,0.9146341463414634
CXQ87_001664-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,10,1,315,2.82875e-152,477.248,0.7619047619047619,0.9968354430379747
CTMYA2_026150.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,10,1,333,9.3836e-82,273.863,0.4444444444444444,1
CAX41453.1,Candida dubliniensis CD36,Cgla_Hyr1,10,3,315,4.8744e-19,92.8189,0.30158730158730157,0.9176829268292683
CXQ85_003757-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,11,1,316,3.21594e-152,477.248,0.7753164556962026,0.9936708860759493
CTMYA2_035130.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,11,1,327,3.07658e-81,273.863,0.45871559633027525,0.9722222222222222
CTRG_00233-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,11,3,299,6.47451e-19,92.8189,0.3010033444816054,0.8902439024390244
PSK37586.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,12,1,315,7.18984e-152,476.093,0.7777777777777778,0.9968354430379747
CTMYA2_057870.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,12,1,330,4.73949e-81,273.092,0.4393939393939394,0.9938271604938271
CTMYA2_034580.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,12,3,299,6.47451e-19,92.8189,0.3010033444816054,0.8902439024390244
CXQ87_005018-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,13,1,316,9.77554e-149,463.766,0.7531645569620253,1
CTMYA2_012750.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,13,1,332,4.7528e-81,254.988,0.40963855421686746,1
CTMYA2_026150.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,13,3,313,9.06169e-19,92.4337,0.30670926517571884,0.9146341463414634
CXQ85_003952-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,14,1,322,2.62968e-144,443.351,0.7236024844720497,1
CR_03880W_A-T-p1,Candida albicans SC5314,Calb_Hyr1,14,1,330,7.88807e-81,268.085,0.43333333333333335,1
CAX39606.1,Candida dubliniensis CD36,Cgla_Hyr1,14,3,292,1.95187e-18,91.6633,0.3116438356164384,0.8658536585365854
PSK37584.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,15,1,312,4.24887e-136,408.297,0.6602564102564102,0.9873417721518988
CTMYA2_012720.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,15,1,320,2.37485e-80,271.166,0.45,0.9506172839506173
KAG5422150.1,Candida metapsilosis BP57,Cgla_Hyr1,15,3,311,6.00178e-18,90.1225,0.2861736334405145,0.9176829268292683
QEL57971.1,Candida auris strain B11245,Caur_Hil1,16,1,314,1.23006e-134,402.519,0.6687898089171974,0.9936708860759493
CTRG_00233-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,16,1,324,2.42416e-80,270.781,0.4537037037037037,0.9783950617283951
CR_00610W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,16,3,295,6.78524e-18,89.7373,0.31186440677966104,0.8658536585365854
CXQ85_004549-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,17,1,314,2.96494e-134,402.519,0.6464968152866242,0.9936708860759493
CTMYA2_034580.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,17,1,324,2.42416e-80,270.781,0.4537037037037037,0.9783950617283951
C5_00730W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,17,3,304,6.9511e-18,89.7373,0.3092105263157895,0.9146341463414634
CXQ87_005009-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,18,1,313,6.47942e-134,398.667,0.6549520766773163,0.990506329113924
CTRG_01926-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,18,1,320,3.66512e-80,270.781,0.45,0.9506172839506173
CAX39619.1,Candida dubliniensis CD36,Cgla_Hyr1,18,3,329,9.93839e-18,89.3521,0.3009118541033435,0.9695121951219512
CXQ85_004563-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,19,1,315,7.71179e-134,414.075,0.6507936507936508,0.9968354430379747
CAX39952.1,Candida dubliniensis CD36,Calb_Hyr1,19,1,321,4.38391e-80,266.159,0.4454828660436137,0.9722222222222222
CTMYA2_012750.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,19,3,298,1.44453e-17,87.4261,0.29194630872483224,0.8902439024390244
CXQ87_001666-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,20,1,312,3.3005e-133,406.757,0.6602564102564102,0.9873417721518988
CAX39925.1,Candida dubliniensis CD36,Calb_Hyr1,20,1,321,3.48284e-79,263.848,0.4454828660436137,0.9722222222222222
KAG5419887.1,Candida metapsilosis BP57,Cgla_Hyr1,20,3,286,2.92736e-17,86.2705,0.3041958041958042,0.8597560975609756
PSK79348.1,Candida auris strain B11243,Caur_Hil1,21,1,311,4.70285e-132,396.741,0.6688102893890675,0.9841772151898734
CR_03630W_A-T-p1,Candida albicans SC5314,Calb_Hyr1,21,1,321,7.93889e-79,262.692,0.4392523364485981,0.9722222222222222
CAGL0I11011g-T-p1,Candida glabrata CBS 138,Cgla_Hyr1,21,1,335,7.27524e-17,86.6557,0.31343283582089554,0.9939024390243902
PSK79346.1,Candida auris strain B11243,Caur_Hil1,22,1,315,8.59082e-132,409.068,0.653968253968254,0.9968354430379747
CTRG_01924-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,22,1,328,2.92734e-78,259.61,0.42073170731707316,0.9876543209876543
KAG5422149.1,Candida metapsilosis BP57,Cgla_Hyr1,22,3,314,7.82749e-17,86.6557,0.27388535031847133,0.9176829268292683
B9J08_004098-t37_1-p1,Candida auris strain B8441,Caur_Hil1,23,1,315,9.24496e-132,409.068,0.653968253968254,0.9968354430379747
CAX40844.1,Candida dubliniensis CD36,Calb_Hyr1,23,1,328,3.30008e-78,265.003,0.43902439024390244,0.9938271604938271
CTRG_01924-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,23,3,298,8.37422e-17,86.2705,0.29194630872483224,0.8902439024390244
B9J08_004100-t37_1-p1,Candida auris strain B8441,Caur_Hil1,24,1,311,1.36674e-131,396.356,0.6688102893890675,0.9841772151898734
CAX39606.1,Candida dubliniensis CD36,Calb_Hyr1,24,1,329,1.80275e-77,262.692,0.44072948328267475,0.9969135802469136
CTMYA2_012720.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,24,3,315,1.37231e-16,85.8853,0.3238095238095238,0.9054878048780488
PIS48192.1,Candida auris strain B11221,Caur_Hil1,25,1,311,2.77654e-131,396.356,0.6688102893890675,0.9841772151898734
CTRG_01922-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,25,1,332,2.34848e-77,255.758,0.40963855421686746,1
CTRG_01926-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,25,3,315,2.50135e-16,85.1149,0.3238095238095238,0.9054878048780488
CXQ85_004928-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,26,1,306,4.78359e-131,416.387,0.6764705882352942,0.9683544303797469
C7_03290C_A-T-p1,Candida albicans SC5314,Calb_Hyr1,26,1,328,7.94388e-77,261.151,0.4268292682926829,0.9938271604938271
KAG5422148.1,Candida metapsilosis BP57,Cgla_Hyr1,26,3,312,2.59484e-16,85.1149,0.2916666666666667,0.9176829268292683
PSK76858.1,Candida auris strain B11243,Caur_Hil1,27,1,313,5.73955e-131,392.119,0.6485623003194888,0.990506329113924
CTMYA2_012740.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,27,1,328,7.95111e-76,258.07,0.42073170731707316,0.9876543209876543
CTRG_01922-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,27,3,298,3.10112e-16,84.7297,0.29194630872483224,0.8902439024390244
B9J08_004110-t37_1-p1,Candida auris strain B8441,Caur_Hil1,28,1,313,6.12448e-131,391.734,0.6485623003194888,0.990506329113924
CR_00610W_A-T-p1,Candida albicans SC5314,Calb_Hyr1,28,1,330,1.01973e-75,257.684,0.42424242424242425,1
EDK37121.2,Meyerozyma guilliermondii ATCC 6260,Cgla_Hyr1,28,3,313,4.08868e-16,84.3445,0.29073482428115016,0.9237804878048781
KND98979.2,Candida auris strain 6684,Caur_Hil1,29,1,313,6.67816e-131,391.734,0.6485623003194888,0.990506329113924
C5_00710W_A-T-p1,Candida albicans SC5314,Calb_Hyr1,29,1,340,6.61265e-74,245.743,0.4323529411764706,1
C4_06550C_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,29,3,297,6.06288e-16,83.9593,0.2895622895622896,0.8902439024390244
PIS50648.1,Candida auris strain B11221,Caur_Hil1,30,1,313,6.87995e-131,391.734,0.6485623003194888,0.990506329113924
CAX42469.1,Candida dubliniensis CD36,Calb_Hyr1,30,1,321,7.26421e-72,246.514,0.4392523364485981,0.9722222222222222
CAX42585.1,Candida dubliniensis CD36,Cgla_Hyr1,30,3,306,7.75125e-16,83.1889,0.2875816993464052,0.8932926829268293
QEO24213.1,Candida auris strain B11220,Caur_Hil1,31,1,313,7.06779e-131,391.734,0.6485623003194888,0.990506329113924
C4_06550C_A-T-p1,Candida albicans SC5314,Calb_Hyr1,31,1,330,7.41459e-72,246.514,0.43333333333333335,1
KAG5422141.1,Candida metapsilosis BP57,Cgla_Hyr1,31,3,311,8.50241e-16,83.1889,0.2572347266881029,0.9176829268292683
PSK35850.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,32,1,311,5.20604e-129,384.8,0.6527331189710611,0.9841772151898734
CAX41453.1,Candida dubliniensis CD36,Calb_Hyr1,32,1,333,1.20018e-70,235.728,0.44144144144144143,0.9722222222222222
CTRG_02071-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,32,3,317,9.84435e-16,83.5741,0.2555205047318612,0.9359756097560976
PSK33672.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,33,1,312,1.36795e-125,379.407,0.6346153846153846,0.9873417721518988
KAG5422150.1,Candida metapsilosis BP57,Calb_Hyr1,33,1,330,1.5046e-69,239.965,0.43636363636363634,0.9753086419753086
CAX42469.1,Candida dubliniensis CD36,Cgla_Hyr1,33,3,297,1.01124e-15,83.1889,0.2895622895622896,0.8902439024390244
CXQ87_005334-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,34,1,312,9.19808e-124,375.555,0.6282051282051282,0.9873417721518988
KAG5422141.1,Candida metapsilosis BP57,Calb_Hyr1,34,1,327,1.00336e-68,232.261,0.41284403669724773,0.9753086419753086
CTMYA2_011360.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,34,3,317,1.05004e-15,83.1889,0.2555205047318612,0.9359756097560976
QEL57973.1,Candida auris strain B11245,Caur_Hil1,35,1,315,2.55475e-123,386.341,0.638095238095238,0.9968354430379747
CR_00760C_A-T-p1,Candida albicans SC5314,Calb_Hyr1,35,1,321,3.15025e-68,236.113,0.40186915887850466,0.9722222222222222
CTRG_05066-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,35,2,279,5.14624e-15,80.4925,0.26523297491039427,0.8262195121951219
PSK76051.1,Candida auris strain B11243,Caur_Hil1,36,1,313,2.32813e-118,370.933,0.6134185303514377,0.9873417721518988
KAG5422149.1,Candida metapsilosis BP57,Calb_Hyr1,36,1,330,2.71942e-67,233.032,0.4303030303030303,0.9753086419753086
CR_00760C_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,36,3,324,6.86056e-15,80.8777,0.3055555555555556,0.9512195121951219
QEL59874.1,Candida auris strain B11245,Caur_Hil1,37,1,313,5.07842e-118,370.548,0.6134185303514377,0.9873417721518988
CAX39619.1,Candida dubliniensis CD36,Calb_Hyr1,37,1,330,1.14249e-64,225.713,0.38484848484848483,1
CTRG_04685-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,37,2,301,7.15684e-15,80.4925,0.292358803986711,0.9024390243902439
PSK33775.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,38,1,315,8.25985e-118,375.555,0.6095238095238096,0.9968354430379747
KAG5422148.1,Candida metapsilosis BP57,Calb_Hyr1,38,1,327,1.20062e-64,225.713,0.43425076452599387,0.9660493827160493
C3_00600W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,38,3,302,1.17328e-14,79.7221,0.2847682119205298,0.8932926829268293
B9J08_001531-t37_1-p1,Candida auris strain B8441,Caur_Hil1,39,1,313,8.46071e-118,373.629,0.6134185303514377,0.9873417721518988
CTRG_00291-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,39,1,213,2.87279e-63,216.468,0.5070422535211268,0.6327160493827161
CR_03880W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,39,3,306,1.40998e-14,79.7221,0.28104575163398693,0.8902439024390244
KND99597.2,Candida auris strain 6684,Caur_Hil1,40,1,313,8.46071e-118,373.629,0.6134185303514377,0.9873417721518988
CPAR2_806410-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,40,1,338,4.17571e-62,218.779,0.4260355029585799,1
CTRG_00291-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,40,2,218,1.49195e-14,79.337,0.3532110091743119,0.6158536585365854
PIS56524.1,Candida auris strain B11221,Caur_Hil1,41,1,313,5.42343e-117,371.703,0.610223642172524,0.9873417721518988
KAG5419887.1,Candida metapsilosis BP57,Calb_Hyr1,41,1,333,4.34659e-60,200.29,0.37237237237237236,1
CPAR2_806410-T-p1,Candida parapsilosis CDC317,Cgla_Hyr1,41,3,312,2.27111e-14,79.337,0.27884615384615385,0.9176829268292683
CXQ87_004674-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,42,1,315,1.12182e-116,374.4,0.6222222222222222,0.9968354430379747
CTRG_01923-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,42,1,218,1.10668e-52,191.43,0.44495412844036697,0.6481481481481481
CTMYA2_012740.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,42,3,298,2.35034e-14,79.337,0.29194630872483224,0.8902439024390244
CXQ87_005004-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,43,1,315,8.61279e-111,355.525,0.5777777777777777,0.9968354430379747
C2_09130C_A-T-p1,Candida albicans SC5314,Calb_Hyr1,43,1,326,5.1151e-52,189.504,0.3619631901840491,0.9722222222222222
CAGL0K00110g-T-p1,Candida glabrata CBS 138,Cgla_Hyr1,43,1,329,2.39048e-14,78.9518,0.3069908814589666,0.9573170731707317
PSK35845.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,44,1,315,1.24758e-104,340.502,0.5777777777777777,0.9968354430379747
EDK37116.2,Meyerozyma guilliermondii ATCC 6260,Calb_Hyr1,44,1,333,7.68832e-51,177.563,0.36936936936936937,0.9876543209876543
CAX39952.1,Candida dubliniensis CD36,Cgla_Hyr1,44,3,305,3.83879e-14,78.5666,0.26885245901639343,0.8902439024390244
CXQ85_005377-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,45,1,310,3.12722e-97,315.464,0.5483870967741935,0.9778481012658228
CAX44107.1,Candida dubliniensis CD36,Calb_Hyr1,45,1,315,3.61152e-50,184.111,0.3619047619047619,0.9382716049382716
QNG15395.1,Candida glabrata BG2,Cgla_Hyr1,45,1,330,4.05078e-14,78.5666,0.3151515151515151,0.9634146341463414
PSK41666.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,46,1,259,1.75971e-92,305.834,0.6216216216216216,0.819620253164557
KAG5422146.1,Candida metapsilosis BP57,Calb_Hyr1,46,1,333,1.58463e-47,176.792,0.35135135135135137,0.9938271604938271
KAG5418848.1,Candida metapsilosis BP57,Cgla_Hyr1,46,3,316,4.73686e-14,78.1814,0.3037974683544304,0.9329268292682927
PSK41664.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,47,1,313,4.08281e-90,295.819,0.5239616613418531,0.9873417721518988
EDK47470.1,Lodderomyces elongisporus NRRL YB-4239,Calb_Hyr1,47,1,325,2.24573e-46,173.326,0.3415384615384615,1
CAX39925.1,Candida dubliniensis CD36,Cgla_Hyr1,47,3,305,5.64685e-14,77.7962,0.26885245901639343,0.8902439024390244
QEL63123.1,Candida auris strain B11245,Caur_Hil1,48,1,273,2.88513e-85,272.707,0.5457875457875457,0.8449367088607594
EDK41808.2,Meyerozyma guilliermondii ATCC 6260,Calb_Hyr1,48,1,332,4.63235e-46,172.17,0.35843373493975905,0.9876543209876543
CAGL0L00227g-T-p1,Candida glabrata CBS 138,Cgla_Hyr1,48,1,323,9.47169e-14,77.411,0.29721362229102166,0.9512195121951219
PSK33774.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,49,1,313,4.35889e-80,263.462,0.48242811501597443,0.990506329113924
EDK37104.2,Meyerozyma guilliermondii ATCC 6260,Calb_Hyr1,49,1,332,6.79595e-46,171.785,0.35843373493975905,0.9938271604938271
QNG15396.1,Candida glabrata BG2,Cgla_Hyr1,49,1,329,9.66293e-14,77.0258,0.3069908814589666,0.9573170731707317
CXQ85_000013-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,50,1,314,3.22181e-74,250.366,0.4713375796178344,0.9873417721518988
CPAR2_301310-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,50,1,319,3.55614e-45,163.31,0.3542319749216301,0.9475308641975309
CTMYA2_035130.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,50,3,314,1.06112e-13,77.411,0.321656050955414,0.9054878048780488
CAG91149.1,Debaryomyces hansenii CBS767,Caur_Hil1,51,1,317,2.21209e-72,242.662,0.45425867507886436,0.9683544303797469
CPAR2_806390-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,51,1,326,5.01225e-45,169.088,0.37116564417177916,0.9722222222222222
QNG14880.1,Candida glabrata BG2,Cgla_Hyr1,51,1,311,1.11738e-13,77.411,0.3279742765273312,0.9146341463414634
QEL61272.1,Candida auris strain B11245,Caur_Hil1,52,1,312,3.18608e-65,223.016,0.4358974358974359,0.9588607594936709
CPAR2_404120-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,52,1,319,5.50659e-45,162.925,0.3667711598746082,0.9475308641975309
CTMYA2_000690.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,52,3,304,1.60074e-13,76.6406,0.28618421052631576,0.8445121951219512
CAR65428.1,Debaryomyces hansenii CBS767,Caur_Hil1,53,1,326,1.37432e-64,225.328,0.4386503067484663,0.990506329113924
CPAR2_301300-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,53,1,321,6.95837e-45,162.54,0.3644859813084112,0.9537037037037037
CTRG_05198-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,53,3,300,2.21325e-13,75.8702,0.2866666666666667,0.8445121951219512
CXQ85_004198-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,54,1,315,7.21837e-64,220.32,0.4,0.9841772151898734
EDK37121.2,Meyerozyma guilliermondii ATCC 6260,Calb_Hyr1,54,1,313,2.64726e-44,167.162,0.35782747603833864,0.9382716049382716
QNG12756.1,Candida glabrata BG2,Cgla_Hyr1,54,1,323,2.54795e-13,76.2554,0.29721362229102166,0.9512195121951219
QEO22143.1,Candida auris strain B11220,Caur_Hil1,55,1,314,8.97522e-64,219.935,0.43312101910828027,0.9651898734177216
CTRG_02201-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,55,1,329,1.15936e-43,165.236,0.3495440729483283,0.9969135802469136
C5_00710W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,55,3,315,2.69828e-13,75.8702,0.2984126984126984,0.9176829268292683
PSK75908.1,Candida auris strain B11243,Caur_Hil1,56,1,314,1.67012e-63,219.935,0.43312101910828027,0.9651898734177216
CTMYA2_050950.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,56,1,329,1.15936e-43,165.236,0.3495440729483283,0.9969135802469136
CTRG_05838-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,56,3,304,2.70142e-13,76.2554,0.28618421052631576,0.8445121951219512
CXQ87_003607-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,57,1,322,3.80383e-63,219.55,0.41304347826086957,0.9936708860759493
KAG5418848.1,Candida metapsilosis BP57,Calb_Hyr1,57,1,319,1.52072e-43,164.851,0.3605015673981191,0.9475308641975309
CAX41550.1,Candida dubliniensis CD36,Cgla_Hyr1,57,3,313,3.42518e-13,75.485,0.28753993610223644,0.9024390243902439
PIS56205.1,Candida auris strain B11221,Caur_Hil1,58,1,314,4.88377e-63,218.394,0.43312101910828027,0.9651898734177216
KAG5419939.1,Candida metapsilosis BP57,Calb_Hyr1,58,1,345,1.95765e-43,159.458,0.34492753623188405,0.9969135802469136
C7_03290C_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,58,3,342,4.91394e-13,75.0998,0.2631578947368421,0.9939024390243902
B9J08_001155-t37_1-p1,Candida auris strain B8441,Caur_Hil1,59,1,314,6.31088e-63,218.394,0.43312101910828027,0.9651898734177216
CPAR2_301320-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,59,1,322,4.30492e-43,157.918,0.36335403726708076,0.9475308641975309
CPAR2_301320-T-p1,Candida parapsilosis CDC317,Cgla_Hyr1,59,3,314,1.3027e-12,73.1738,0.267515923566879,0.9024390243902439
CXQ85_002807-t46_1-p1,Candida haemulonis B11899,Caur_Hil1,60,1,314,4.1935e-62,214.542,0.42356687898089174,0.9651898734177216
CPAR2_702650-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,60,1,319,4.68626e-43,157.918,0.34796238244514105,0.9475308641975309
CTRG_04426-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1,60,3,256,1.86385e-12,73.559,0.28515625,0.7652439024390244
CXQ87_005017-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1,61,1,307,4.55975e-61,215.312,0.43322475570032576,0.9525316455696202
CPAR2_301290-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,61,1,313,9.48279e-42,154.836,0.3546325878594249,0.9166666666666666
CTMYA2_030820.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,61,3,256,1.86385e-12,73.559,0.28515625,0.7652439024390244
PSK33719.1,Candida pseudohaemulonii strain B12108,Caur_Hil1,62,1,323,6.50798e-60,210.305,0.4024767801857585,0.9936708860759493
KAG5419966.1,Candida metapsilosis BP57,Calb_Hyr1,62,1,218,3.14917e-41,147.517,0.3853211009174312,0.6419753086419753
C1_13450W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,62,3,304,3.15664e-12,72.7886,0.28618421052631576,0.8932926829268293
QEL62783.1,Candida auris strain B11245,Caur_Hil1,63,1,310,7.43377e-59,205.297,0.3870967741935484,0.9810126582278481
CTRG_04426-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,63,1,289,5.04749e-40,154.836,0.39100346020761245,0.8580246913580247
CR_03630W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1,63,3,306,3.64489e-12,72.4034,0.2647058823529412,0.8902439024390244
PSK79720.1,Candida auris strain B11243,Caur_Hil1,64,1,310,7.43377e-59,205.297,0.3870967741935484,0.9810126582278481
CTMYA2_030820.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,64,1,289,5.04749e-40,154.836,0.39100346020761245,0.8580246913580247
CTMYA2_059160.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,64,2,279,3.76945e-12,72.7886,0.26881720430107525,0.8262195121951219
QEO24533.1,Candida auris strain B11220,Caur_Hil1,65,1,310,7.61007e-59,205.297,0.3870967741935484,0.9810126582278481
CPAR2_404110-T-p1,Candida parapsilosis CDC317,Calb_Hyr1,65,1,323,7.12264e-39,146.362,0.35294117647058826,0.9475308641975309
CTMYA2_057870.t1-p1,Candida tropicalis MYA-3404 2020,Cgla_Hyr1,65,3,300,3.93007e-12,72.4034,0.2866666666666667,0.8445121951219512
