Accession,Organism,Query,Rank Per Query,Rank Per Subject,Align Length,E-Value,Score,Identity,Query Coverage
CXQ85_003952-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],12,1,322,2.51629e-144,443.351,0.7236024844720497,1
CR_03880W_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],12,1,330,4.55475e-81,268.855,0.44242424242424244,1
CTRG_04224-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],12,3,310,1.43042e-19,94.7449,0.3,0.9146341463414634
PSK37584.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],13,1,312,4.06565e-136,408.297,0.6602564102564102,0.9873417721518988
CR_03880W_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],13,1,330,7.54792e-81,268.085,0.43333333333333335,1
CAX41453.1,Candida dubliniensis CD36,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],13,3,315,4.66421e-19,92.8189,0.30158730158730157,0.9176829268292683
CXQ85_004549-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],14,1,314,2.83708e-134,402.519,0.6464968152866242,0.9936708860759493
CR_03630W_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],14,1,321,2.29673e-80,266.929,0.4454828660436137,0.9722222222222222
CTRG_00233-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],14,3,299,6.19532e-19,92.8189,0.3010033444816054,0.8902439024390244
CXQ87_005009-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],15,1,313,6.20002e-134,398.667,0.6549520766773163,0.990506329113924
CTRG_00233-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],15,1,324,2.31963e-80,270.781,0.4537037037037037,0.9783950617283951
CAX39606.1,Candida dubliniensis CD36,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],15,3,292,1.8677e-18,91.6633,0.3116438356164384,0.8658536585365854
CXQ85_004563-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],16,1,315,7.37925e-134,414.075,0.6507936507936508,0.9968354430379747
CTRG_01926-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],16,1,320,3.50708e-80,270.781,0.45,0.9506172839506173
CAWG_01420-T-p1,Candida albicans WO-1,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],16,3,292,2.01684e-18,91.2781,0.3082191780821918,0.8658536585365854
CXQ87_001666-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],17,1,312,3.15818e-133,406.757,0.6602564102564102,0.9873417721518988
CAX39952.1,Candida dubliniensis CD36,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],17,1,321,4.19487e-80,266.159,0.4454828660436137,0.9722222222222222
KAG5422150.1,Candida metapsilosis BP57,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],17,3,311,5.74297e-18,90.1225,0.2861736334405145,0.9176829268292683
PSK79348.1,Candida auris strain B11243,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],18,1,311,4.50005e-132,396.741,0.6688102893890675,0.9841772151898734
CAX39925.1,Candida dubliniensis CD36,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],18,1,321,3.33266e-79,263.848,0.4454828660436137,0.9722222222222222
CR_00610W_B-T-p1,Candida albicans SC5314_B,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],18,3,295,6.49265e-18,89.7373,0.31186440677966104,0.8658536585365854
PSK79346.1,Candida auris strain B11243,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],19,1,315,8.22037e-132,409.068,0.653968253968254,0.9968354430379747
CAWG_01699-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],19,1,330,5.19181e-79,264.618,0.43636363636363634,1
CR_00610W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],19,3,295,6.49265e-18,89.7373,0.31186440677966104,0.8658536585365854
B9J08_004098-t37_1-p1,Candida auris strain B8441,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],20,1,315,8.8463e-132,409.068,0.653968253968254,0.9968354430379747
CR_03630W_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],20,1,321,7.59655e-79,262.692,0.4392523364485981,0.9722222222222222
C5_00730W_B-T-p1,Candida albicans SC5314_B,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],20,3,304,6.65135e-18,89.7373,0.3092105263157895,0.9146341463414634
B9J08_004100-t37_1-p1,Candida auris strain B8441,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],21,1,311,1.3078e-131,396.356,0.6688102893890675,0.9841772151898734
CAWG_01724-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],21,1,330,1.43675e-78,262.307,0.43333333333333335,1
C5_00730W_A-T-p1,Candida albicans SC5314,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],21,3,304,6.65135e-18,89.7373,0.3092105263157895,0.9146341463414634
PIS48192.1,Candida auris strain B11221,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],22,1,311,2.65681e-131,396.356,0.6688102893890675,0.9841772151898734
CTRG_01924-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],22,1,328,2.80111e-78,259.61,0.42073170731707316,0.9876543209876543
CAX39619.1,Candida dubliniensis CD36,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],22,3,329,9.50983e-18,89.3521,0.3009118541033435,0.9695121951219512
CXQ85_004928-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],23,1,306,4.57732e-131,416.387,0.6764705882352942,0.9683544303797469
CAX40844.1,Candida dubliniensis CD36,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],23,1,328,3.15778e-78,265.003,0.43902439024390244,0.9938271604938271
CAWG_04466-T-p1,Candida albicans WO-1,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],23,3,304,1.07707e-17,88.9669,0.3092105263157895,0.9146341463414634
PSK76858.1,Candida auris strain B11243,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],24,1,313,5.49205e-131,392.119,0.6485623003194888,0.990506329113924
CAWG_05662-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],24,1,328,5.06288e-78,263.848,0.4298780487804878,0.9938271604938271
KAG5419887.1,Candida metapsilosis BP57,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],24,3,286,2.80112e-17,86.2705,0.3041958041958042,0.8597560975609756
B9J08_004110-t37_1-p1,Candida auris strain B8441,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],25,1,313,5.86038e-131,391.734,0.6485623003194888,0.990506329113924
CAX39606.1,Candida dubliniensis CD36,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],25,1,329,1.72501e-77,262.692,0.44072948328267475,0.9969135802469136
CAGL0I11011g-T-p1,Candida glabrata CBS 138,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],25,1,335,6.96152e-17,86.6557,0.31343283582089554,0.9939024390243902
PIS50648.1,Candida auris strain B11221,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],26,1,313,6.58327e-131,391.734,0.6485623003194888,0.990506329113924
CTRG_01922-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],26,1,332,2.24721e-77,255.758,0.40963855421686746,1
KAG5422149.1,Candida metapsilosis BP57,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],26,3,314,7.48995e-17,86.6557,0.27388535031847133,0.9176829268292683
PSK35850.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],27,1,311,4.98154e-129,384.8,0.6527331189710611,0.9841772151898734
C7_03290C_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],27,1,328,7.60132e-77,261.151,0.4268292682926829,0.9938271604938271
CTRG_01924-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],27,3,298,8.01311e-17,86.2705,0.29194630872483224,0.8902439024390244
PSK33672.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],28,1,312,1.30896e-125,379.407,0.6346153846153846,0.9873417721518988
CAWG_01420-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],28,1,330,8.28062e-76,258.07,0.42424242424242425,1
CTRG_01926-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],28,3,315,2.39349e-16,85.1149,0.3238095238095238,0.9054878048780488
CXQ87_005334-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],29,1,312,8.80144e-124,375.555,0.6282051282051282,0.9873417721518988
CR_00610W_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],29,1,330,9.75757e-76,257.684,0.42424242424242425,1
KAG5422148.1,Candida metapsilosis BP57,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],29,3,312,2.48295e-16,85.1149,0.2916666666666667,0.9176829268292683
PSK76051.1,Candida auris strain B11243,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],30,1,313,2.22774e-118,370.933,0.6134185303514377,0.9873417721518988
CR_00610W_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],30,1,330,9.75757e-76,257.684,0.42424242424242425,1
CTRG_01922-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],30,3,298,2.96739e-16,84.7297,0.29194630872483224,0.8902439024390244
PSK33775.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],31,1,315,7.90367e-118,375.555,0.6095238095238096,0.9968354430379747
C7_03290C_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],31,1,328,2.47416e-75,256.529,0.42378048780487804,0.9938271604938271
CAWG_03173-T-p1,Candida albicans WO-1,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],31,3,297,3.86572e-16,84.7297,0.2895622895622896,0.8902439024390244
B9J08_001531-t37_1-p1,Candida auris strain B8441,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],32,1,313,8.09587e-118,373.629,0.6134185303514377,0.9873417721518988
CAWG_04465-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],32,1,340,3.56823e-74,246.128,0.4323529411764706,1
EDK37121.2,Meyerozyma guilliermondii ATCC 6260,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],32,3,313,3.91237e-16,84.3445,0.29073482428115016,0.9237804878048781
PIS56524.1,Candida auris strain B11221,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],33,1,313,5.18956e-117,371.703,0.610223642172524,0.9873417721518988
C5_00710W_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],33,1,340,5.66292e-74,245.743,0.4323529411764706,1
C4_06550C_B-T-p1,Candida albicans SC5314_B,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],33,3,297,5.59129e-16,83.9593,0.2895622895622896,0.8902439024390244
CXQ87_004674-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],34,1,315,1.07345e-116,374.4,0.6222222222222222,0.9968354430379747
C5_00710W_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],34,1,340,6.32751e-74,245.743,0.4323529411764706,1
C4_06550C_A-T-p1,Candida albicans SC5314,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],34,3,297,5.80144e-16,83.9593,0.2895622895622896,0.8902439024390244
CXQ87_005004-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],35,1,315,8.2414e-111,355.525,0.5777777777777777,0.9968354430379747
CAX42469.1,Candida dubliniensis CD36,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],35,1,321,6.95096e-72,246.514,0.4392523364485981,0.9722222222222222
CAX42585.1,Candida dubliniensis CD36,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],35,3,306,7.41701e-16,83.1889,0.2875816993464052,0.8932926829268293
PSK35845.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],36,1,315,1.19378e-104,340.502,0.5777777777777777,0.9968354430379747
C4_06550C_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],36,1,330,7.09486e-72,246.514,0.43333333333333335,1
KAG5422141.1,Candida metapsilosis BP57,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],36,3,311,8.13577e-16,83.1889,0.2572347266881029,0.9176829268292683
CXQ85_005377-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],37,1,310,2.99237e-97,315.464,0.5483870967741935,0.9778481012658228
C4_06550C_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],37,1,330,8.45338e-72,246.128,0.43333333333333335,1
CTRG_02071-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],37,3,317,9.41985e-16,83.5741,0.2555205047318612,0.9359756097560976
PSK41666.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],38,1,259,1.68383e-92,305.834,0.6216216216216216,0.819620253164557
CAWG_03173-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],38,1,330,3.70879e-71,244.588,0.43333333333333335,1
CAX42469.1,Candida dubliniensis CD36,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],38,3,297,9.67636e-16,83.1889,0.2895622895622896,0.8902439024390244
PSK41664.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],39,1,313,3.90675e-90,295.819,0.5239616613418531,0.9873417721518988
CAX41453.1,Candida dubliniensis CD36,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],39,1,333,1.14842e-70,235.728,0.44144144144144143,0.9722222222222222
CAWG_02395-T-p1,Candida albicans WO-1,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],39,3,302,2.96569e-15,81.2629,0.2913907284768212,0.8932926829268293
PSK33774.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],40,1,313,4.17092e-80,263.462,0.48242811501597443,0.990506329113924
KAG5422150.1,Candida metapsilosis BP57,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],40,1,330,1.43972e-69,239.965,0.43636363636363634,0.9753086419753086
CTRG_05066-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],40,2,279,4.92433e-15,80.4925,0.26523297491039427,0.8262195121951219
CXQ85_000013-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],41,1,314,3.08288e-74,250.366,0.4713375796178344,0.9873417721518988
KAG5422141.1,Candida metapsilosis BP57,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],41,1,327,9.60097e-69,232.261,0.41284403669724773,0.9753086419753086
CR_00760C_B-T-p1,Candida albicans SC5314_B,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],41,3,324,6.56472e-15,80.8777,0.3055555555555556,0.9512195121951219
CAG91149.1,Debaryomyces hansenii CBS767,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],42,1,317,2.1167e-72,242.662,0.45425867507886436,0.9683544303797469
CAWG_01434-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],42,1,321,2.84302e-68,236.113,0.40186915887850466,0.9722222222222222
CR_00760C_A-T-p1,Candida albicans SC5314,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],42,3,324,6.56472e-15,80.8777,0.3055555555555556,0.9512195121951219
CAR65428.1,Debaryomyces hansenii CBS767,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],43,1,326,1.31506e-64,225.328,0.4386503067484663,0.990506329113924
CR_00760C_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],43,1,321,3.0144e-68,236.113,0.40186915887850466,0.9722222222222222
CTRG_04685-t43_1-p1,Candida tropicalis MYA-3404,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],43,2,301,6.84823e-15,80.4925,0.292358803986711,0.9024390243902439
CXQ85_004198-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],44,1,315,6.9071e-64,220.32,0.4,0.9841772151898734
CR_00760C_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],44,1,321,3.0144e-68,236.113,0.40186915887850466,0.9722222222222222
