# Assembly name:  ASM104691v1
# Organism name:  [Candida] nivariensis CBS 9983 (budding yeasts)
# Infraspecific name:  strain=CBS 9983
# Taxid:          1279115
# BioSample:      SAMEA3146320
# BioProject:     PRJEB148
# Submitter:      LabRI
# Date:           2013-08-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CAPV01
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001046915.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001046925.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CAPV01000109.1	unplaced-scaffold	na	na	CAPV01000109.1	<>	na	Primary Assembly	278938	na
CAPV01000110.1	unplaced-scaffold	na	na	CAPV01000110.1	<>	na	Primary Assembly	29763	na
CAPV01000111.1	unplaced-scaffold	na	na	CAPV01000111.1	<>	na	Primary Assembly	3698	na
CAPV01000112.1	unplaced-scaffold	na	na	CAPV01000112.1	<>	na	Primary Assembly	83784	na
CAPV01000113.1	unplaced-scaffold	na	na	CAPV01000113.1	<>	na	Primary Assembly	42791	na
CAPV01000114.1	unplaced-scaffold	na	na	CAPV01000114.1	<>	na	Primary Assembly	807234	na
CAPV01000115.1	unplaced-scaffold	na	na	CAPV01000115.1	<>	na	Primary Assembly	486555	na
CAPV01000116.1	unplaced-scaffold	na	na	CAPV01000116.1	<>	na	Primary Assembly	2787	na
CAPV01000117.1	unplaced-scaffold	na	na	CAPV01000117.1	<>	na	Primary Assembly	8400	na
CAPV01000118.1	unplaced-scaffold	na	na	CAPV01000118.1	<>	na	Primary Assembly	16286	na
CAPV01000119.1	unplaced-scaffold	na	na	CAPV01000119.1	<>	na	Primary Assembly	31520	na
CAPV01000120.1	unplaced-scaffold	na	na	CAPV01000120.1	<>	na	Primary Assembly	36897	na
CAPV01000121.1	unplaced-scaffold	na	na	CAPV01000121.1	<>	na	Primary Assembly	572815	na
CAPV01000122.1	unplaced-scaffold	na	na	CAPV01000122.1	<>	na	Primary Assembly	2785	na
CAPV01000123.1	unplaced-scaffold	na	na	CAPV01000123.1	<>	na	Primary Assembly	2403	na
