# 2020-07-26 21:12 HB
name	id	species	length
XP_002547620.1_Ctropicalis	XP_002547620.1	Ctropicalis	1689
XP_002545452.1_Ctropicalis	XP_002545452.1	Ctropicalis	1383
XP_002550128.1_Ctropicalis	XP_002550128.1	Ctropicalis	1230
XP_001385681.2_Sstipitis	XP_001385681.2	Sstipitis	2303
XP_722183.2_Calbicans	XP_722183.2	Calbicans	919
XP_001523105.1_Lelongisporus	XP_001523105.1	Lelongisporus	3496
XP_002419003.1_Cdubliniensis	XP_002419003.1	Cdubliniensis	534
XP_003678549.1_Ncastellii	XP_003678549.1	Ncastellii	773
XP_717774.1_Calbicans	XP_717774.1	Calbicans	511
XP_002550387.1_Ctropicalis	XP_002550387.1	Ctropicalis	588
XP_002547891.1_Ctropicalis	XP_002547891.1	Ctropicalis	669
XP_002614829.1_Clusitaniae	XP_002614829.1	Clusitaniae	702
XP_002419002.1_Cdubliniensis	XP_002419002.1	Cdubliniensis	1268
XP_002547904.1_Ctropicalis	XP_002547904.1	Ctropicalis	1038
XP_002614815.1_Clusitaniae	XP_002614815.1	Clusitaniae	674
XP_447567.2_Cglabrata	XP_447567.2	Cglabrata	1771
XP_002614120.1_Clusitaniae	XP_002614120.1	Clusitaniae	624
XP_001383953.2_Sstipitis	XP_001383953.2	Sstipitis	1452
XP_445977.1_Cglabrata	XP_445977.1	Cglabrata	965
B9J08_004098_Cauris	B9J08_004098	Cauris	1247
CLUG_05233_Clusitaniae	CLUG_05233	Clusitaniae	1442
CPAR2_600430_Cparapsilosis	CPAR2_600430	Cparapsilosis	1429
CPAR2_806390_Cparapsilosis	CPAR2_806390	Cparapsilosis	1640
CPAR2_806410_Cparapsilosis	CPAR2_806410	Cparapsilosis	1671
CPAR2_806420_Cparapsilosis	CPAR2_806420	Cparapsilosis	1714
NADE0s05e04136g_Ndelphensis	NADE0s05e04136g	Ndelphensis	409
XP_452176.1_Klactis	XP_452176.1	Klactis	766
CABR0s21e03234g_Nbracarensis	CABR0s21e03234g	Nbracarensis	892
CABR0s31e03938g_Nbracarensis	CABR0s31e03938g	Nbracarensis	373
CANI0s04e00110g_Nnivariensis	CANI0s04e00110g	Nnivariensis	918
