description,max.score,total.score,query.cover,e.value,perc.ident,accession
"hyphally-regulated cell wall protein precursor, putative [Candida dubliniensis CD36]",130,130,58%,7.00E-28,32.76,XP_002420471.1
predicted protein [Candida tropicalis MYA-3404],129,129,57%,1.00E-27,31.98,XP_002549927.1
"hyphally-regulated protein precursor, putative [Candida dubliniensis CD36]",129,129,56%,2.00E-27,31.25,XP_002421668.1
Iff3p [Candida albicans SC5314],127,127,56%,4.00E-27,30.24,XP_715137.2
"Hyr1p homologue, putative [Candida dubliniensis CD36]",127,127,56%,5.00E-27,31.34,XP_002421681.1
conserved hypothetical protein [Candida dubliniensis CD36],127,127,56%,9.00E-27,32.35,XP_002420246.1
Iff5p [Candida albicans SC5314],126,126,58%,1.00E-26,31.99,XP_715535.1
predicted protein [Candida tropicalis MYA-3404],125,125,53%,2.00E-26,31.38,XP_002546360.1
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],122,122,56%,3.00E-26,32.16,XP_001386218.2
Hyr4p [Candida albicans SC5314],125,125,56%,4.00E-26,29.85,XP_717969.1
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],119,119,55%,2.00E-25,32.83,XP_001382756.2
Iff8p [Candida albicans SC5314],119,119,57%,1.00E-24,30.43,XP_714201.2
"[GPI-anchored] cell wall protein, HYR(-like) family member, putative [Candida dubliniensis CD36]",119,119,56%,2.00E-24,30.64,XP_002420375.1
uncharacterized protein DIURU_002623 [Diutina rugosa],115,115,54%,2.00E-24,31.56,XP_034012475.1
predicted protein [Candida tropicalis MYA-3404],119,119,58%,2.00E-24,30.73,XP_002547620.1
predicted protein [Candida tropicalis MYA-3404],118,118,58%,5.00E-24,29.23,XP_002545452.1
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],114,114,58%,1.00E-23,29.58,XP_001382762.1
uncharacterized protein DIURU_001825 [Diutina rugosa],114,114,50%,8.00E-23,33.67,XP_034013359.1
von Willebrand factor (VWF2) [Scheffersomyces stipitis CBS 6054],108,108,55%,1.00E-21,29.61,XP_001386216.2
HYR1-like protein [Scheffersomyces stipitis CBS 6054],104,104,57%,3.00E-20,28.11,XP_001385024.2
predicted protein [Candida tropicalis MYA-3404],106,106,57%,3.00E-20,30.35,XP_002550128.1
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],102,102,56%,8.00E-20,30.61,XP_001386602.2
hypothetical protein containing von Willebrand factor and highly repetitive sequences [Scheffersomyces stipitis CBS 6054],102,102,52%,1.00E-18,34.29,XP_001385681.2
Hyr1p [Candida albicans SC5314],98.6,98.6,56%,1.00E-17,27.11,XP_722183.2
uncharacterized protein DIURU_002632 [Diutina rugosa],90.5,90.5,51%,4.00E-15,28.48,XP_034012484.1
uncharacterized protein DIURU_002624 [Diutina rugosa],90.1,90.1,54%,6.00E-15,29.39,XP_034012476.1
hypothetical protein LELG_05651 [Lodderomyces elongisporus NRRL YB-4239],89.4,89.4,57%,1.00E-14,29.07,XP_001523105.1
"hyphally regulated cell wall protein, putative [Candida dubliniensis CD36]",86.3,86.3,56%,6.00E-14,26.04,XP_002419003.1
predicted protein [Candida tropicalis MYA-3404],82.8,82.8,58%,2.00E-13,26.61,XP_002546744.1
hypothetical protein CLUG_05597 [Clavispora lusitaniae ATCC 42720],83.2,83.2,55%,2.00E-13,29.73,XP_002614819.1
hypothetical protein NCAS_0J02330 [Naumovozyma castellii CBS 4309],83.6,83.6,53%,6.00E-13,27.87,XP_003678549.1
Iff11p [Candida albicans SC5314],81.6,81.6,56%,1.00E-12,25.74,XP_717774.1
predicted protein [Candida tropicalis MYA-3404],80.1,80.1,54%,5.00E-12,27.1,XP_002550387.1
predicted protein [Candida tropicalis MYA-3404],79.7,79.7,53%,9.00E-12,25.71,XP_002547891.1
hypothetical protein CLUG_04844 [Clavispora lusitaniae ATCC 42720],77.8,77.8,50%,3.00E-11,29.35,XP_002614829.1
"cell wall mannoprotein, putative [Candida dubliniensis CD36]",77.4,77.4,58%,6.00E-11,25.43,XP_002419002.1
predicted protein [Candida tropicalis MYA-3404],72.4,72.4,56%,2.00E-09,28.02,XP_002547904.1
hypothetical protein CLUG_05593 [Clavispora lusitaniae ATCC 42720],70.9,70.9,56%,5.00E-09,26.84,XP_002614815.1
uncharacterized protein CAGL0I07293g [[Candida] glabrata],68.9,68.9,51%,3.00E-08,28.31,XP_447567.2
predicted protein [Candida tropicalis MYA-3404],67.8,67.8,54%,3.00E-08,27.04,XP_002550768.1
hypothetical protein CLUG_05606 [Clavispora lusitaniae ATCC 42720],65.1,65.1,56%,3.00E-07,26.67,XP_002614120.1
agglutinin-like protein 2 [Scheffersomyces stipitis CBS 6054],65.5,65.5,58%,3.00E-07,26.3,XP_001383953.2
uncharacterized protein CAGL0E06600g [[Candida] glabrata],63.2,63.2,55%,2.00E-06,28.36,XP_445977.1
