ID	length	Ser	Thr
NP_009313.1	259	18	18
NP_009315.1	385	28	16
NP_009316.1	638	41	32
NP_009317.1	517	32	22
NP_009318.1	423	29	22
NP_009319.1	76	5	3
NP_009320.1	398	16	13
NP_009324.1	235	12	10
NP_009326.1	251	13	16
NP_009327.1	472	24	24
NP_009328.1	269	16	20
NP_009332.1	120	9	13
NP_009333.1	593	48	31
NP_009335.1	128	25	24
NP_009336.1	126	12	12
NP_009337.2	94	9	4
NP_009338.1	1322	183	356
NP_009339.1	457	37	23
NP_009340.1	417	17	21
NP_009341.2	382	26	16
NP_009342.2	212	18	11
NP_009343.1	502	30	28
NP_009345.3	880	95	38
NP_009346.1	180	17	10
NP_009347.1	713	51	47
NP_009348.2	783	72	56
NP_009349.3	1047	107	53
NP_009350.1	246	15	8
NP_009351.1	662	55	38
NP_009352.2	622	65	27
NP_009353.1	118	12	9
NP_009355.3	170	12	14
NP_009356.1	785	92	47
NP_009358.1	415	26	22
NP_009359.1	854	127	46
NP_009360.1	580	92	43
NP_009361.1	269	29	7
NP_009362.1	500	27	38
NP_009363.1	267	24	21
NP_009364.1	369	26	21
NP_009365.1	1002	63	47
NP_009367.1	289	18	15
NP_009368.2	413	51	15
NP_009369.1	173	20	5
NP_009370.1	379	31	17
NP_009371.1	760	93	42
NP_009372.1	117	9	4
NP_009373.1	1471	104	74
NP_009374.1	528	85	19
NP_009375.1	261	17	14
NP_009376.2	1355	97	84
NP_009377.2	306	23	11
NP_009378.1	1435	191	88
NP_009379.2	759	67	37
NP_009380.1	517	48	36
NP_009381.1	837	55	51
NP_009382.2	333	18	17
NP_009383.1	1131	95	63
NP_009384.1	325	22	15
NP_009385.2	1356	147	75
NP_009386.1	635	50	29
NP_009387.1	399	26	24
NP_009388.2	255	22	10
NP_009389.3	405	26	22
NP_009390.1	394	29	28
NP_009391.2	625	47	31
NP_009392.2	493	66	44
NP_009393.1	259	25	14
NP_009394.1	198	12	9
NP_009395.1	215	19	16
NP_009396.2	642	41	45
NP_009398.1	206	15	8
NP_009399.2	1274	129	67
NP_009400.1	1160	97	75
NP_009401.1	539	87	31
NP_009402.1	219	12	11
NP_009403.1	426	38	24
NP_009404.1	621	45	36
NP_009405.1	275	19	12
NP_009406.1	1196	112	86
NP_009407.1	440	54	41
NP_009408.3	709	102	32
NP_009409.1	306	20	19
NP_009410.1	435	29	17
NP_009411.2	974	103	60
NP_009412.1	55	6	4
NP_009413.2	179	10	13
NP_009414.1	235	15	13
NP_009415.1	234	23	14
NP_009416.1	74	4	5
NP_009418.1	298	24	16
NP_009419.1	234	16	14
NP_009420.1	687	56	52
NP_009421.3	1188	95	70
NP_009424.1	1537	200	432
NP_009429.1	99	11	7
NP_009430.1	203	42	17
NP_009431.1	161	10	17
NP_009434.1	467	39	37
NP_009437.1	792	100	136
NP_009438.1	105	3	3
NP_009439.1	667	51	35
NP_009443.1	196	9	17
NP_009444.2	1010	96	76
NP_009445.2	1151	86	73
NP_009446.2	1038	97	55
NP_009447.1	486	65	27
NP_009448.1	215	19	16
NP_009449.1	1117	147	75
NP_009450.1	1770	164	136
NP_009451.1	438	47	34
NP_009453.2	545	43	27
NP_009454.1	460	35	23
NP_009455.3	754	57	51
NP_009457.1	270	13	11
NP_009459.1	220	24	12
NP_009460.1	130	8	8
NP_009461.2	175	12	6
NP_009462.2	421	19	24
NP_009463.1	177	18	5
NP_009464.2	459	44	24
NP_009465.2	2787	251	140
NP_009466.1	137	10	3
NP_009467.1	466	49	46
NP_009468.1	980	154	70
NP_009469.2	758	84	42
NP_009471.1	458	31	19
NP_009472.1	368	74	25
NP_009473.2	541	41	28
NP_009474.1	1502	153	87
NP_009475.1	117	6	6
NP_009477.1	1072	71	58
NP_009478.1	649	44	54
NP_009479.1	355	25	13
NP_009481.1	200	17	12
NP_009484.2	429	30	16
NP_009485.3	326	23	19
NP_009486.3	747	85	39
NP_009487.2	1148	128	94
NP_009489.1	261	17	18
NP_009490.1	1111	116	73
NP_009492.1	696	80	36
NP_009493.1	687	77	39
NP_009494.1	193	15	20
NP_009495.1	423	38	25
NP_009496.2	208	18	17
NP_009497.2	468	51	23
NP_009498.1	418	40	20
NP_009499.1	525	72	37
NP_009501.1	831	67	49
NP_009502.1	668	90	36
NP_009503.1	292	25	6
NP_009504.1	138	16	6
NP_009506.1	1381	148	106
NP_009507.1	441	36	23
NP_009508.1	457	47	27
NP_009509.1	122	12	7
NP_009510.1	257	31	22
NP_009511.1	639	52	40
NP_009512.1	241	16	10
NP_009513.1	219	15	17
NP_009514.1	579	30	35
NP_009515.1	232	12	10
NP_009516.1	1025	104	78
NP_009517.1	257	17	11
NP_009518.1	705	71	47
NP_009519.1	1513	154	90
NP_009520.1	345	21	22
NP_009521.1	381	34	22
NP_009522.1	338	54	28
NP_009523.1	318	23	15
NP_009524.1	376	56	21
NP_009525.1	106	10	4
NP_009526.1	189	9	6
NP_009527.1	95	5	7
NP_009528.1	145	6	7
NP_009529.1	684	39	37
NP_009530.1	868	68	36
NP_009531.1	1133	91	70
NP_009532.1	144	15	7
NP_009533.1	574	48	32
NP_009534.1	520	45	25
NP_009535.1	133	14	8
NP_009536.1	1579	131	112
NP_009537.1	353	21	16
NP_009538.1	526	28	27
NP_009539.2	894	96	41
NP_009540.2	401	23	23
NP_009542.1	759	64	37
NP_009543.1	280	22	17
NP_009544.1	676	102	42
NP_009545.2	840	83	49
NP_009546.1	1244	104	106
NP_009547.2	180	23	5
NP_009548.1	976	98	64
NP_009549.1	1755	178	133
NP_009550.1	440	48	39
NP_009551.2	2493	232	137
NP_009552.1	132	8	5
NP_009553.1	131	19	11
NP_009554.1	104	7	8
NP_009555.1	780	51	43
NP_009556.1	286	21	16
NP_009557.1	473	43	22
NP_009558.2	433	44	20
NP_009559.1	213	18	15
NP_009560.1	497	33	35
NP_009561.2	736	101	57
NP_009562.1	548	34	31
NP_009563.1	103	6	6
NP_009564.1	136	10	9
NP_009565.1	287	13	19
NP_009567.1	1756	179	132
NP_009568.1	440	52	38
NP_009569.1	129	12	9
NP_009570.1	203	19	16
NP_009571.1	597	43	36
NP_009572.1	128	6	3
NP_009573.1	918	68	46
NP_009574.1	366	30	15
NP_009575.1	699	42	45
NP_009576.1	528	45	24
NP_009577.1	633	64	25
NP_009578.1	177	17	8
NP_009579.1	1165	105	73
NP_009580.1	301	23	12
NP_009581.1	394	21	16
NP_009582.1	380	41	28
NP_009584.1	525	50	30
NP_009585.1	457	30	38
NP_009586.1	552	52	20
NP_009587.1	362	25	28
NP_009589.1	919	99	47
NP_009590.1	348	25	19
NP_009591.1	228	12	17
NP_009592.1	410	41	26
NP_009593.1	295	20	14
NP_009594.1	963	89	50
NP_009595.1	311	25	22
NP_009596.1	298	37	17
NP_009597.2	669	38	41
NP_009598.1	397	34	20
NP_009599.2	689	67	40
NP_009600.2	572	47	34
NP_009601.2	639	83	43
NP_009602.1	334	23	17
NP_009603.1	175	12	6
NP_009604.1	156	9	13
NP_009605.1	810	79	30
NP_009606.1	338	35	19
NP_009608.1	210	13	11
NP_009609.1	358	31	16
NP_009610.1	344	21	20
NP_009611.1	899	58	43
NP_009612.1	501	35	17
NP_009613.1	366	37	21
NP_009614.2	781	62	34
NP_009615.1	1108	137	60
NP_009616.1	620	52	46
NP_009617.3	310	32	14
NP_009618.2	180	15	11
NP_009619.1	404	41	32
NP_009621.3	364	34	23
NP_009622.1	220	22	20
NP_009623.1	210	49	17
NP_009624.4	609	55	29
NP_009625.1	619	60	25
NP_009626.1	237	17	12
NP_009627.3	211	42	18
NP_009628.1	214	16	7
NP_009629.6	958	83	72
NP_009630.3	976	105	61
NP_009632.2	354	31	20
NP_009633.3	162	17	10
NP_009634.2	429	85	37
NP_009635.1	964	64	51
NP_009636.3	758	55	40
NP_009637.1	1332	108	80
NP_009638.1	148	14	9
NP_009639.3	486	61	28
NP_009640.1	975	64	52
NP_009641.1	189	9	6
NP_009642.3	307	24	15
NP_009643.2	946	108	64
NP_009644.3	354	34	15
NP_009645.1	258	24	12
NP_009647.2	99	4	6
NP_009648.4	122	5	9
NP_009649.1	109	8	4
NP_009650.1	467	30	36
NP_009651.3	467	37	37
NP_009652.2	753	52	38
NP_009653.2	430	42	23
NP_009654.3	230	19	13
NP_009655.2	1454	140	84
NP_009656.2	691	74	29
NP_009659.3	290	20	9
NP_009660.1	753	81	38
NP_009661.1	535	55	27
NP_009662.3	329	18	27
NP_009663.1	362	36	24
NP_009664.1	188	13	10
NP_009665.3	245	17	16
NP_009666.3	947	103	45
NP_009667.1	147	18	4
NP_009668.3	449	31	17
NP_009669.1	231	12	13
NP_009670.3	966	69	59
NP_009672.1	790	50	50
NP_009673.1	1392	95	86
NP_009675.3	681	59	34
NP_009676.1	458	21	28
NP_009677.1	298	20	17
NP_009678.3	162	12	6
NP_009679.2	667	39	30
NP_009680.2	177	24	7
NP_009681.3	649	51	27
NP_009683.1	393	30	26
NP_009684.1	495	39	26
NP_009685.3	517	33	31
NP_009686.1	344	18	11
NP_009687.1	328	29	18
NP_009688.3	425	69	26
NP_009689.3	704	79	36
NP_009690.1	596	45	29
NP_009691.1	827	81	37
NP_009693.3	150	9	6
NP_009694.3	2368	198	127
NP_009695.2	179	13	9
NP_009696.2	524	67	19
NP_009697.3	508	41	24
NP_009698.3	3092	349	176
NP_009699.2	337	31	10
NP_009700.1	773	74	42
NP_009701.3	437	25	24
NP_009703.3	351	19	15
NP_009704.1	278	19	17
NP_009705.1	296	23	7
NP_009706.3	609	58	35
NP_009707.3	344	20	19
NP_009708.1	1094	94	61
NP_009709.1	316	23	16
NP_009710.3	291	30	13
NP_009711.3	244	16	20
NP_009712.1	215	15	11
NP_009713.1	385	20	16
NP_009714.3	698	86	47
NP_009715.4	255	47	14
NP_009716.1	549	50	27
NP_009717.1	347	29	23
NP_009718.3	298	15	7
NP_009719.3	376	27	25
NP_009720.1	455	74	32
NP_009721.1	65	2	4
NP_009722.3	585	44	34
NP_009723.3	183	15	11
NP_009724.1	277	28	16
NP_009725.1	452	42	22
NP_009726.3	140	9	14
NP_009727.3	413	30	26
NP_009728.1	693	43	48
NP_009729.1	580	52	25
NP_009730.3	206	15	7
NP_009731.4	740	102	67
NP_009732.1	148	13	12
NP_009734.1	315	34	20
NP_009735.3	312	29	24
NP_009736.3	451	31	28
NP_009738.1	855	72	45
NP_009739.1	572	50	30
NP_009740.3	236	9	10
NP_009741.3	452	60	20
NP_009742.1	316	22	16
NP_009743.3	523	48	29
NP_009744.3	278	21	14
NP_009745.2	564	55	33
NP_009746.1	280	26	15
NP_009747.3	140	9	8
NP_009748.3	195	12	7
NP_009750.1	160	9	7
NP_009751.1	377	29	27
NP_009752.3	223	25	23
NP_009753.3	123	9	5
NP_009754.1	422	48	29
NP_009755.1	554	38	42
NP_009756.1	217	24	16
NP_009757.1	798	78	44
NP_009758.3	464	34	21
NP_009759.3	551	60	35
NP_009760.1	211	14	7
NP_009761.4	845	60	55
NP_009762.2	924	140	53
NP_009763.2	375	19	14
NP_009764.3	404	35	18
NP_009766.4	465	55	21
NP_009767.1	1835	144	95
NP_009769.1	142	8	6
NP_009770.3	324	28	14
NP_009771.3	672	73	42
NP_009772.1	274	11	8
NP_009773.1	527	68	41
NP_009774.4	625	88	55
NP_009775.3	674	49	43
NP_009776.1	186	27	9
NP_009777.1	1180	65	62
NP_009778.3	127	8	13
NP_009779.3	560	46	37
NP_009780.1	366	27	23
NP_009781.3	543	36	41
NP_009782.3	544	47	40
NP_009784.1	900	121	49
NP_009786.1	520	34	26
NP_009787.3	304	9	13
NP_009788.3	954	73	58
NP_009789.1	134	13	6
NP_009790.3	303	28	10
NP_009792.3	413	39	27
NP_009793.1	384	42	20
NP_009794.3	1120	99	82
NP_009795.3	436	34	17
NP_009796.1	849	74	49
NP_009797.1	731	59	39
NP_009798.3	529	55	32
NP_009799.3	450	43	30
NP_009800.1	488	42	31
NP_009801.1	238	14	16
NP_009802.3	448	24	17
NP_009803.3	162	14	6
NP_009804.1	1129	69	49
NP_009805.1	387	34	23
NP_009806.3	483	34	22
NP_009807.3	552	34	22
NP_009808.1	370	21	22
NP_009809.1	523	66	39
NP_009810.3	307	20	12
NP_009811.3	147	12	12
NP_009812.1	121	7	13
NP_009813.1	175	13	7
NP_009814.3	694	76	59
NP_009815.1	238	18	16
NP_009816.1	279	15	14
NP_009817.3	142	12	5
NP_009818.3	688	64	30
NP_009819.1	666	75	43
NP_009820.1	232	8	12
NP_009821.3	106	9	6
NP_009822.4	490	43	25
NP_009823.2	199	17	14
NP_009824.2	320	17	18
NP_009825.4	393	27	19
NP_009827.3	105	11	3
NP_009828.2	138	8	12
NP_009829.2	545	75	33
NP_009830.3	419	27	20
NP_009831.3	480	32	23
NP_009832.1	436	38	29
NP_009833.1	527	37	24
NP_009834.4	1916	186	96
NP_009835.3	807	64	50
NP_009837.1	201	22	6
NP_009838.1	445	25	24
NP_009839.4	637	65	44
NP_009840.3	878	93	53
NP_009841.1	146	9	11
NP_009842.1	490	27	31
NP_009843.3	797	69	39
NP_009844.4	144	15	7
NP_009845.2	537	31	24
NP_009846.1	427	43	18
NP_009847.4	483	45	25
NP_009848.4	905	64	58
NP_009849.1	321	26	21
NP_009850.1	299	26	25
NP_009852.3	474	58	31
NP_009853.3	859	81	57
NP_009854.2	1216	136	80
NP_009855.1	574	48	38
NP_009856.3	468	39	19
NP_009857.1	614	44	32
NP_009858.3	584	44	33
NP_009860.3	120	10	13
NP_009861.1	379	29	11
NP_009863.2	615	65	40
NP_009864.1	458	34	28
NP_009865.2	260	15	10
NP_009866.1	210	16	17
NP_009867.1	175	17	5
NP_009868.3	210	16	17
NP_009869.3	175	17	5
NP_009870.1	423	58	26
NP_009871.2	1096	99	65
NP_009872.1	316	11	14
NP_009873.1	152	22	9
NP_009874.1	712	61	36
NP_009875.1	144	10	4
NP_009876.1	335	20	23
NP_009877.1	841	46	37
NP_009878.1	416	33	28
NP_009879.2	583	75	28
NP_009880.2	321	21	23
NP_009881.2	312	36	19
NP_009882.1	463	37	22
NP_009883.1	258	21	7
NP_009884.1	760	56	55
NP_009886.1	417	38	32
NP_009887.1	522	35	15
NP_009889.2	119	14	18
NP_009890.1	500	33	36
NP_009891.1	745	80	50
NP_009892.1	528	62	24
NP_009893.2	434	48	27
NP_009894.1	566	38	30
NP_009895.1	110	3	5
NP_009896.2	354	42	17
NP_009897.1	168	11	9
NP_009898.1	346	36	22
NP_009899.1	297	23	14
NP_009900.2	799	57	33
NP_009901.1	440	31	23
NP_009902.2	405	67	10
NP_009903.2	512	62	49
NP_009904.2	193	8	17
NP_009905.3	633	47	30
NP_009907.2	1037	112	61
NP_009909.2	1770	165	136
NP_009910.2	438	47	34
NP_009911.2	364	25	16
NP_009912.2	497	40	33
NP_009913.2	380	28	19
NP_009914.2	1636	176	99
NP_009916.1	427	27	17
NP_009917.1	259	14	16
NP_009918.1	309	31	20
NP_009919.3	385	30	24
NP_009922.2	256	20	21
NP_009923.2	521	49	34
NP_009924.4	263	24	7
NP_009925.1	188	13	8
NP_009926.1	153	12	10
NP_009928.1	322	24	24
NP_009929.1	183	8	9
NP_009930.1	247	16	22
NP_009931.1	460	42	18
NP_009933.1	239	21	11
NP_009934.1	603	69	36
NP_009935.1	265	14	13
NP_009936.1	283	16	17
NP_009937.2	1049	88	58
NP_009938.2	416	26	18
NP_009940.2	582	40	24
NP_009941.2	317	30	17
NP_009942.2	290	25	10
NP_009943.2	953	70	63
NP_009944.2	221	24	15
NP_009946.1	363	33	20
NP_009947.1	215	14	16
NP_009948.1	88	8	4
NP_009949.1	78	7	4
NP_009950.1	332	21	20
NP_009952.2	611	56	32
NP_009953.1	492	44	35
NP_009955.2	742	60	44
NP_009956.2	209	16	16
NP_009957.1	512	45	21
NP_009958.2	135	10	10
NP_009959.2	870	116	66
NP_009960.2	137	9	11
NP_009961.2	2167	189	99
NP_009962.2	1226	145	79
NP_009963.1	347	18	24
NP_009964.2	394	32	29
NP_009965.2	333	18	22
NP_009966.2	923	85	58
NP_009967.2	642	44	41
NP_009971.1	1407	115	71
NP_009972.1	127	10	5
NP_009973.1	357	20	20
NP_009974.1	491	37	24
NP_009975.1	169	16	7
NP_009976.1	275	21	10
NP_009978.1	610	46	44
NP_009979.1	102	3	7
NP_009980.1	222	9	9
NP_009981.1	483	38	36
NP_009982.1	514	40	31
NP_009983.1	563	35	27
NP_009984.1	923	86	52
NP_009985.1	258	18	16
NP_009986.1	111	7	4
NP_009987.2	631	55	55
NP_009990.1	157	9	9
NP_009991.2	564	66	34
NP_009992.1	487	61	29
NP_009993.1	1065	195	102
NP_009994.2	520	40	41
NP_009995.1	318	19	25
NP_009996.2	146	10	8
NP_009997.2	515	55	39
NP_009998.2	1331	93	68
NP_009999.2	315	29	14
NP_010000.1	260	24	14
NP_010001.1	250	24	15
NP_010002.3	796	76	37
NP_010003.2	442	35	23
NP_010004.1	1427	117	73
NP_010005.1	128	3	7
NP_010006.1	127	5	9
NP_010007.1	713	70	72
NP_010009.1	190	20	10
NP_010011.1	153	8	10
NP_010012.1	592	51	22
NP_010013.2	1609	425	291
NP_010014.1	182	20	11
NP_010015.3	720	80	42
NP_010016.2	1018	86	54
NP_010017.2	2108	159	124
NP_010018.1	391	25	28
NP_010019.1	362	26	20
NP_010020.1	119	9	8
NP_010021.1	126	10	6
NP_010022.1	518	37	37
NP_010023.1	155	9	5
NP_010024.1	316	34	22
NP_010025.1	182	12	12
NP_010026.1	368	17	18
NP_010029.1	124	8	13
NP_010030.1	361	29	8
NP_010031.1	832	79	28
NP_010032.1	363	34	14
NP_010033.1	383	29	14
NP_010034.1	609	52	42
NP_010035.1	357	19	19
NP_010036.1	567	46	26
NP_010037.1	340	15	17
NP_010038.1	329	26	16
NP_010040.1	123	8	16
NP_010041.2	1017	85	68
NP_010042.2	790	74	34
NP_010043.1	489	33	38
NP_010044.2	390	36	16
NP_010045.1	312	23	19
NP_010046.1	167	12	8
NP_010047.1	746	61	35
NP_010048.1	458	38	33
NP_010049.1	36	4	3
NP_010050.1	1125	112	53
NP_010051.1	335	18	22
NP_010052.1	613	43	45
NP_010054.1	586	33	31
NP_010055.1	352	31	22
NP_010056.1	551	54	34
NP_010057.1	649	100	35
NP_010058.1	1046	141	103
NP_010059.1	309	25	24
NP_010061.1	924	97	48
NP_010062.1	150	16	5
NP_010063.1	317	26	31
NP_010064.1	207	13	14
NP_010065.2	440	47	30
NP_010066.1	1092	89	49
NP_010067.1	699	85	48
NP_010068.1	225	8	12
NP_010069.1	210	13	11
NP_010070.1	372	59	51
NP_010071.1	571	48	26
NP_010072.1	339	25	12
NP_010073.2	156	11	4
NP_010074.1	538	34	27
NP_010075.1	762	74	58
NP_010076.1	327	18	16
NP_010077.1	393	35	31
NP_010078.1	623	58	27
NP_010079.1	249	17	19
NP_010080.1	286	13	11
NP_010081.2	188	10	11
NP_010082.1	687	84	32
NP_010083.1	300	23	15
NP_010084.1	525	56	29
NP_010086.2	1273	141	94
NP_010087.1	884	101	64
NP_010088.1	375	18	15
NP_010089.1	181	12	12
NP_010090.1	120	6	6
NP_010091.2	961	71	45
NP_010092.2	457	59	22
NP_010093.1	377	23	19
NP_010095.1	277	32	14
NP_010096.1	1071	87	64
NP_010097.1	25	1	1
NP_010098.1	320	30	19
NP_010099.1	428	24	22
NP_010100.1	85	9	4
NP_010101.1	547	56	32
NP_010102.1	304	32	22
NP_010103.1	530	46	17
NP_010104.1	170	14	8
NP_010105.1	708	61	44
NP_010106.1	344	39	13
NP_010107.1	587	41	38
NP_010108.1	295	29	15
NP_010110.1	2145	137	114
NP_010111.1	528	41	17
NP_010112.1	223	24	13
NP_010113.1	386	17	29
NP_010114.1	719	77	41
NP_010115.1	197	14	5
NP_010116.1	191	16	13
NP_010117.1	755	65	46
NP_010120.1	454	34	24
NP_010121.1	506	24	35
NP_010122.1	515	54	26
NP_010124.1	118	8	6
NP_010125.1	522	42	36
NP_010126.1	427	38	17
NP_010127.1	901	70	58
NP_010128.1	610	41	24
NP_010131.1	422	39	15
NP_010132.1	997	77	53
NP_010133.1	810	46	32
NP_010134.1	445	33	19
NP_010135.1	491	45	27
NP_010136.1	1201	81	67
NP_010137.2	356	23	18
NP_010138.1	528	47	27
NP_010139.1	283	21	22
NP_010140.1	690	51	46
NP_010141.1	1733	163	115
NP_010142.2	223	18	11
NP_010143.1	763	81	44
NP_010144.1	181	12	11
NP_010145.1	120	6	6
NP_010146.1	202	14	11
NP_010147.1	369	24	17
NP_010148.1	25	1	1
NP_010149.1	437	44	24
NP_010150.1	815	54	46
NP_010151.1	440	27	26
NP_010152.1	86	4	1
NP_010153.1	106	7	3
NP_010154.1	291	32	22
NP_010155.1	411	31	28
NP_010156.2	308	38	25
NP_010157.1	835	40	39
NP_010158.1	158	7	9
NP_010159.1	312	21	16
NP_010160.1	140	13	6
NP_010161.1	809	65	36
NP_010162.1	149	11	7
NP_010163.1	174	14	9
NP_010164.1	307	30	31
NP_010166.1	885	97	38
NP_010167.1	726	60	32
NP_010168.4	353	34	10
NP_010169.1	308	26	19
NP_010170.1	640	72	33
NP_010171.1	1436	123	81
NP_010172.1	265	36	8
NP_010173.1	150	11	6
NP_010174.1	647	58	33
NP_010175.1	306	16	16
NP_010176.1	351	20	14
NP_010177.1	559	56	40
NP_010178.1	402	43	24
NP_010179.1	407	32	21
NP_010180.1	477	35	19
NP_010181.2	1097	79	60
NP_010182.1	513	46	26
NP_010183.1	354	23	23
NP_010184.1	341	25	30
NP_010185.1	194	16	12
NP_010186.1	434	36	21
NP_010188.1	817	68	43
NP_010190.1	743	58	35
NP_010191.1	146	17	9
NP_010192.1	455	42	16
NP_010193.1	431	34	20
NP_010194.1	484	51	18
NP_010195.1	528	63	36
NP_010196.1	261	15	14
NP_010197.1	273	12	18
NP_010198.1	545	38	38
NP_010199.1	446	23	24
NP_010200.1	143	11	6
NP_010201.1	199	6	8
NP_010202.1	106	8	3
NP_010203.1	609	42	37
NP_010204.1	501	33	29
NP_010205.1	343	28	16
NP_010206.1	1049	86	58
NP_010207.1	294	26	18
NP_010208.1	113	4	4
NP_010209.1	700	69	43
NP_010210.1	984	96	53
NP_010211.1	203	18	9
NP_010213.1	638	74	29
NP_010214.2	229	13	20
NP_010216.1	59	2	3
NP_010217.1	428	29	29
NP_010218.2	342	23	12
NP_010219.1	157	11	4
NP_010220.1	620	60	26
NP_010222.1	56	4	1
NP_010223.1	788	51	30
NP_010224.1	238	17	20
NP_010225.1	1790	158	100
NP_010226.1	328	28	15
NP_010227.1	833	86	60
NP_010228.1	361	17	23
NP_010229.1	486	67	32
NP_010230.1	185	24	22
NP_010231.1	303	19	18
NP_010232.1	275	22	10
NP_010234.1	268	15	36
NP_010235.1	490	76	38
NP_010236.1	311	15	15
NP_010237.1	173	5	10
NP_010238.1	95	9	2
NP_010239.1	306	27	14
NP_010240.1	440	30	19
NP_010241.1	266	23	8
NP_010242.1	562	42	30
NP_010244.1	854	58	29
NP_010245.2	698	187	126
NP_010247.1	328	88	76
NP_010248.1	462	22	28
